iter	RMSE
0	15629.30899
1	14533.63782
2	13494.73972
3	12618.15687
4	11735.17377
5	10868.04629
6	10115.32241
7	9362.94407
8	8727.355289
9	8120.294408
10	7521.246075
11	6972.563496
12	6457.857199
13	6034.797437
14	5640.533924
15	5255.259881
16	4882.526167
17	4559.871674
18	4260.879689
19	3960.553877
20	3729.422312
21	3451.116306
22	3227.223071
23	3023.512197
24	2835.620268
25	2661.572005
26	2527.12919
27	2380.495286
28	2238.848612
29	2139.190586
30	2032.669085
31	1920.608462
32	1805.564686
33	1702.662016
34	1612.836991
35	1517.450725
36	1445.196848
37	1371.728044
38	1308.070976
39	1242.304884
40	1186.590772
41	1128.453594
42	1079.06911
43	1033.015738
44	993.4704995
45	950.1825932
46	925.780891
47	903.1163403
48	866.2270917
49	839.2407406
50	809.2356323
51	783.4510838
52	755.5569109
53	732.5970534
54	713.0713197
55	693.4086435
56	677.3980078
57	659.8825894
58	645.2826885
59	628.7503757
60	615.3628773
61	603.1434825
62	593.4845778
63	580.5401252
64	567.0059103
65	558.6607696
66	546.2511442
67	536.4730936
68	530.7414447
69	519.4366714
70	514.5896082
71	510.2068122
72	500.5361148
73	493.6316309
74	485.431151
75	479.468472
76	471.6274785
77	465.0971395
78	459.6081256
79	450.1088014
80	443.699897
81	434.5304141
82	429.7937295
83	422.8995269
84	417.5968887
85	413.761752
86	408.3509247
87	403.2213786
88	399.3804225
89	395.8135045
90	393.0808441
91	388.83908
92	384.8403551
93	377.3191482
94	374.3948501
95	371.6157526
96	366.0457253
97	362.4506937
98	356.0956609
99	350.2148492
