iter	Passed	Remaining
0	233	46511
1	326	32275
2	430	28249
3	538	26395
4	637	24881
5	727	23508
6	810	22351
7	891	21407
8	974	20676
9	1059	20127
10	1139	19573
11	1228	19239
12	1307	18813
13	1389	18465
14	1474	18188
15	1558	17925
16	1641	17670
17	1725	17444
18	1807	17215
19	1891	17024
20	1975	16841
21	2055	16627
22	2135	16431
23	2219	16278
24	2302	16118
25	2386	15969
26	2468	15819
27	2552	15676
28	2633	15530
29	2715	15385
30	2795	15240
31	2880	15122
32	2965	15006
33	3048	14885
34	3130	14759
35	3217	14655
36	3299	14533
37	3382	14419
38	3465	14306
39	3549	14196
40	3635	14099
41	3713	13968
42	3794	13854
43	3877	13748
44	3961	13643
45	4044	13538
46	4127	13436
47	4210	13334
48	4300	13253
49	4385	13157
50	4467	13052
51	4552	12957
52	4636	12859
53	4717	12755
54	4799	12654
55	4889	12572
56	4971	12471
57	5064	12398
58	5147	12300
59	5231	12207
60	5315	12112
61	5397	12014
62	5486	11930
63	5574	11845
64	5670	11777
65	5771	11717
66	5883	11680
67	5991	11630
68	6091	11564
69	6178	11473
70	6273	11397
71	6373	11331
72	6478	11271
73	6580	11204
74	6682	11137
75	6787	11073
76	6883	10996
77	6984	10923
78	7085	10852
79	7181	10771
80	7265	10674
81	7351	10578
82	7436	10482
83	7517	10381
84	7596	10277
85	7679	10179
86	7763	10083
87	7854	9997
88	7936	9898
89	8019	9801
90	8100	9702
91	8182	9605
92	8287	9535
93	8386	9457
94	8492	9386
95	8579	9294
96	8660	9196
97	8743	9100
98	8822	9000
99	8902	8902
100	8991	8813
101	9074	8718
102	9154	8621
103	9237	8526
104	9318	8431
105	9399	8335
106	9479	8239
107	9556	8140
108	9637	8045
109	9717	7950
110	9799	7857
111	9879	7762
112	9963	7670
113	10044	7577
114	10122	7481
115	10207	7391
116	10288	7298
117	10370	7206
118	10450	7113
119	10531	7021
120	10613	6929
121	10692	6836
122	10774	6745
123	10856	6654
124	10940	6564
125	11024	6474
126	11103	6382
127	11185	6291
128	11268	6201
129	11351	6112
130	11433	6022
131	11516	5932
132	11598	5842
133	11679	5752
134	11766	5665
135	11847	5575
136	11927	5484
137	12009	5395
138	12093	5307
139	12176	5218
140	12258	5129
141	12341	5040
142	12422	4951
143	12503	4862
144	12579	4771
145	12657	4681
146	12735	4591
147	12813	4502
148	12892	4412
149	12969	4323
150	13048	4234
151	13127	4145
152	13208	4057
153	13285	3968
154	13366	3880
155	13447	3792
156	13527	3705
157	13609	3617
158	13690	3530
159	13769	3442
160	13859	3357
161	13955	3273
162	14054	3190
163	14153	3106
164	14241	3021
165	14326	2934
166	14411	2847
167	14493	2760
168	14572	2673
169	14657	2586
170	14743	2500
171	14832	2414
172	14913	2327
173	14997	2240
174	15077	2153
175	15165	2068
176	15258	1982
177	15339	1895
178	15421	1809
179	15499	1722
180	15579	1635
181	15657	1548
182	15737	1461
183	15827	1376
184	15954	1293
185	16082	1210
186	16189	1125
187	16284	1039
188	16412	955
189	16502	868
190	16594	781
191	16694	695
192	16800	609
193	16906	522
194	17004	436
195	17100	348
196	17213	262
197	17331	175
198	17448	87
199	17569	0
