ticker    ,name                                                                                   ,industry                                             ,eps_positive_streak,posterior_beat_prob,model_confidence   ,map_estimate
CL        ,Colgate-Palmolive Company                                                              ,Household Products                                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
IMO       ,Imperial Oil Limited                                                                   ,Oil Gas and Consumable Fuels                         ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
NVR       ,NVR Inc.                                                                               ,Household Durables                                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
CVX       ,Chevron Corporation                                                                    ,Oil Gas and Consumable Fuels                         ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
CHTR      ,Charter Communications Inc.                                                            ,Media                                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
CNR       ,Canadian National Railway Company                                                      ,Ground Transportation                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
VZ        ,Verizon Communications Inc.                                                            ,Diversified Telecommunication Services               ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
RCL       ,Royal Caribbean Cruises Ltd.                                                           ,Hotels Restaurants and Leisure                       ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
LYB       ,LyondellBasell Industries N.V.                                                         ,Chemicals                                            ,3                  ,0.5712871287128714 ,0.11043778001521287,0.6
REGN      ,Regeneron Pharmaceuticals Inc.                                                         ,Biotechnology                                        ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
ARCB      ,ArcBest Corporation                                                                    ,Ground Transportation                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
APD       ,Air Products and Chemicals Inc.                                                        ,Chemicals                                            ,4                  ,0.7071065989847716 ,0.19847187353281615,0.8
XOM       ,Exxon Mobil Corporation                                                                ,Oil Gas and Consumable Fuels                         ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
ALV       ,Autoliv Inc.                                                                           ,Automobile Components                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
BEPC      ,Brookfield Renewable Corporation                                                       ,Independent Power and Renewable Electricity Producers,2                  ,0.4287128712871287 ,0.11043778001521287,0.4
IESC      ,IES Holdings Inc.                                                                      ,Construction and Engineering                         ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
ALGT      ,Allegiant Travel Company                                                               ,Passenger Airlines                                   ,1                  ,0.29289340101522837,0.19847187353281626,0.2
GNTX      ,Gentex Corporation                                                                     ,Automobile Components                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
BBU       ,Brookfield Business Partners L.P.                                                      ,Industrial Conglomerates                             ,3                  ,0.5712871287128714 ,0.11043778001521287,0.6
MOGA      ,Moog Inc.                                                                              ,Aerospace and Defense                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
ENSG      ,The Ensign Group Inc.                                                                  ,Health Care Providers and Services                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
ELISA     ,Elisa Oyj                                                                              ,Diversified Telecommunication Services               ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
LIFCOB    ,Lifco AB (publ)                                                                        ,Industrial Conglomerates                             ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
COLR      ,Colruyt Group N.V.                                                                     ,Consumer Staples Distribution and Retail             ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
SKFB      ,AB SKF (publ)                                                                          ,Machinery                                            ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
LIGHT     ,Signify N.V.                                                                           ,Electrical Equipment                                 ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
ARJOB     ,Arjo AB (publ)                                                                         ,Health Care Equipment and Supplies                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
A307950   ,Hyundai Autoever Corporation                                                           ,IT Services                                          ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
4506      ,Sumitomo Pharma Co. Ltd.                                                               ,Pharmaceuticals                                      ,4                  ,0.7071065989847716 ,0.19847187353281615,0.8
7735      ,SCREEN Holdings Co. Ltd.                                                               ,Semiconductors and Semiconductor Equipment           ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
BAJAJAUTO ,Bajaj Auto Limited                                                                     ,Automobiles                                          ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
VNM       ,Vietnam Dairy Products Joint Stock Company                                             ,Food Products                                        ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
HPG       ,Hoa Phat Group Joint Stock Company                                                     ,Metals and Mining                                    ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
GAS       ,Petrovietnam Gas Joint Stock Corporation                                               ,Gas Utilities                                        ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
9202      ,ANA Holdings Inc.                                                                      ,Passenger Airlines                                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
ABDP      ,AB Dynamics plc                                                                        ,Automobile Components                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
GLENMARK  ,Glenmark Pharmaceuticals Limited                                                       ,Pharmaceuticals                                      ,4                  ,0.7071065989847716 ,0.19847187353281615,0.8
JINDALSTEL,Jindal Steel Limited                                                                   ,Metals and Mining                                    ,4                  ,0.7071065989847716 ,0.19847187353281615,0.8
500850    ,The Indian Hotels Company Limited                                                      ,Hotels Restaurants and Leisure                       ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
5334      ,Niterra Co. Ltd.                                                                       ,Automobile Components                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
9023      ,Tokyo Metro Co. Ltd.                                                                   ,Ground Transportation                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
3092      ,ZOZO Inc.                                                                              ,Specialty Retail                                     ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
9009      ,Keisei Electric Railway Co. Ltd.                                                       ,Ground Transportation                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
2875      ,Toyo Suisan Kaisha Ltd.                                                                ,Food Products                                        ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
MEESHO    ,Meesho Limited                                                                         ,Broadline Retail                                     ,0                  ,0.19022967101179392,0.4063138435328444 ,0.1
FPT       ,FPT Corporation                                                                        ,IT Services                                          ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
9531      ,Tokyo Gas Co.Ltd.                                                                      ,Gas Utilities                                        ,4                  ,0.7071065989847716 ,0.19847187353281615,0.8
SCC       ,The Siam Cement Public Company Limited                                                 ,Construction Materials                               ,2                  ,0.4287128712871287 ,0.11043778001521287,0.4
9042      ,Hankyu Hanshin Holdings Inc.                                                           ,Ground Transportation                                ,4                  ,0.7071065989847716 ,0.19847187353281615,0.8
9104      ,Mitsui O.S.K. Lines Ltd.                                                               ,Marine Transportation                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
500790    ,Nestlé India Limited                                                                   ,Food Products                                        ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
RR        ,Richtech Robotics Inc.                                                                 ,Machinery                                            ,0                  ,0.19022967101179392,0.4063138435328444 ,0.1
SNCY      ,Sun Country Airlines Holdings Inc.                                                     ,Passenger Airlines                                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
9301      ,Mitsubishi Logistics Corporation                                                       ,Transportation Infrastructure                        ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
9506      ,Tohoku Electric Power Company Incorporated                                             ,Electric Utilities                                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
500086    ,Exide Industries Limited                                                               ,Automobile Components                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
5332      ,TOTO LTD.                                                                              ,Building Products                                    ,4                  ,0.7071065989847716 ,0.19847187353281615,0.8
NATIONALUM,National Aluminium Company Limited                                                     ,Metals and Mining                                    ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
7741      ,HOYA Corporation                                                                       ,Health Care Equipment and Supplies                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
9719      ,SCSK Corporation                                                                       ,IT Services                                          ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
NTPC      ,NTPC Limited                                                                           ,Independent Power and Renewable Electricity Producers,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
4568      ,Daiichi Sankyo Company Limited                                                         ,Pharmaceuticals                                      ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
6920      ,Lasertec Corporation                                                                   ,Semiconductors and Semiconductor Equipment           ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
500425    ,Ambuja Cements Limited                                                                 ,Construction Materials                               ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
BMAX      ,Byggmax Group AB (publ)                                                                ,Specialty Retail                                     ,3                  ,0.5712871287128714 ,0.11043778001521287,0.6
9503      ,The Kansai Electric Power Company Incorporated                                         ,Electric Utilities                                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
4507      ,Shionogi & Co. Ltd.                                                                    ,Pharmaceuticals                                      ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
9513      ,Electric Power Development Co. Ltd.                                                    ,Independent Power and Renewable Electricity Producers,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
9962      ,MISUMI Group Inc.                                                                      ,Machinery                                            ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
FB        ,San Miguel Food and Beverage Inc.                                                      ,Food Products                                        ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
515030    ,Asahi India Glass Limited                                                              ,Automobile Components                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
ASTERDM   ,Aster DM Healthcare Limited                                                            ,Health Care Providers and Services                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
9533      ,Toho Gas Co. Ltd.                                                                      ,Gas Utilities                                        ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
9065      ,Sankyu Inc.                                                                            ,Air Freight and Logistics                            ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
5929      ,Sanwa Holdings Corporation                                                             ,Building Products                                    ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
PLX       ,Vietnam National Petroleum Group                                                       ,Oil Gas and Consumable Fuels                         ,2                  ,0.4287128712871287 ,0.11043778001521287,0.4
7276      ,Koito Manufacturing Co. Ltd.                                                           ,Automobile Components                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
MSUMI     ,Motherson Sumi Wiring India Limited                                                    ,Automobile Components                                ,0                  ,0.19022967101179392,0.4063138435328444 ,0.1
SITES1A1  ,Operadora de Sites Mexicanos S.A.B. de C.V.                                            ,Diversified Telecommunication Services               ,2                  ,0.4287128712871287 ,0.11043778001521287,0.4
6301      ,Komatsu Ltd.                                                                           ,Machinery                                            ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
POWERGRID ,Power Grid Corporation of India Limited                                                ,Electric Utilities                                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
A064350   ,Hyundai Rotem Company                                                                  ,Machinery                                            ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
A010140   ,Samsung Heavy Industries Co. Ltd.                                                      ,Machinery                                            ,4                  ,0.7071065989847716 ,0.19847187353281615,0.8
ORG       ,Origin Energy Limited                                                                  ,Electric Utilities                                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
9508      ,Kyushu Electric Power Company Incorporated                                             ,Electric Utilities                                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
AIAENG    ,AIA Engineering Limited                                                                ,Machinery                                            ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
ALMENDRAL ,Almendral S.A.                                                                         ,Wireless Telecommunication Services                  ,0                  ,0.19022967101179392,0.4063138435328444 ,0.1
5938      ,LIXIL Corporation                                                                      ,Building Products                                    ,3                  ,0.5712871287128714 ,0.11043778001521287,0.6
AEGISLOG  ,Aegis Logistics Limited                                                                ,Oil Gas and Consumable Fuels                         ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
500459    ,Procter & Gamble Hygiene and Health Care Limited                                       ,Personal Care Products                               ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
LALPATHLAB,Dr. Lal PathLabs Limited                                                               ,Health Care Providers and Services                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
1959      ,Kraftia Corporation                                                                    ,Construction and Engineering                         ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
COLBUN    ,Colbún S.A.                                                                            ,Independent Power and Renewable Electricity Producers,0                  ,0.19022967101179392,0.4063138435328444 ,0.1
AJANTPHARM,Ajanta Pharma Limited                                                                  ,Pharmaceuticals                                      ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
DELHIVERY ,Delhivery Limited                                                                      ,Air Freight and Logistics                            ,2                  ,0.4287128712871287 ,0.11043778001521287,0.4
MKDM      ,Mekdam Holding Group - Q.P.S.C.                                                        ,Industrial Conglomerates                             ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
SUNPHARMA ,Sun Pharmaceutical Industries Limited                                                  ,Pharmaceuticals                                      ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
2240      ,Advanced Building Industries Co.                                                       ,Metals and Mining                                    ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
ATMI      ,Al Jazeera Steel Products Company SAOG                                                 ,Metals and Mining                                    ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
BDL       ,Bharat Dynamics Limited                                                                ,Aerospace and Defense                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
GAIL      ,GAIL (India) Limited                                                                   ,Gas Utilities                                        ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
4768      ,Otsuka Corporation                                                                     ,IT Services                                          ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
STPIL     ,La Société de Transport des Hydrocarbures par Pipelines SOTRAPIL SA                    ,Oil Gas and Consumable Fuels                         ,3                  ,0.5712871287128714 ,0.11043778001521287,0.6
