ticker    ,name                                                                                   ,sector                ,industry                                             ,exchange,market_cap,enterprise_value,last_price,price_target,composite_quality_score,quality_tier
AIT       ,Applied Industrial Technologies Inc.                                                   ,Industrials           ,Trading Companies and Distributors                   ,NYSE    ,9713.93   ,9851.84         ,260.41    ,304.1667    ,85.75747198007474      ,High
LRCX      ,Lam Research Corporation                                                               ,Information Technology,Semiconductors and Semiconductor Equipment           ,NasdaqGS,291538.08 ,289841.39       ,233.46    ,257.129     ,85.38060398505606      ,High
AAPL      ,Apple Inc.                                                                             ,Information Technology,Technology Hardware Storage and Peripherals          ,NasdaqGS,3809462.21,3755176.21      ,259.48    ,288.7962    ,85.37749066002492      ,High
FIX       ,Comfort Systems USA Inc.                                                               ,Industrials           ,Construction and Engineering                         ,NYSE    ,40193.87  ,39736.42        ,1142.1    ,1158.2      ,85.36737235367373      ,High
BBW       ,Build-A-Bear Workshop Inc.                                                             ,Consumer Discretionary,Specialty Retail                                     ,NYSE    ,757.32    ,847.8           ,59.68     ,70.0        ,84.44512764632628      ,High
MTELEKOM  ,Magyar Telekom Távközlési Nyilvánosan Müködö Részvénytársaság                          ,Communication Services,Diversified Telecommunication Services               ,BUSE    ,5519.08   ,6563.43         ,1998.0    ,1772.25     ,83.38107098381072      ,High
EME       ,EMCOR Group Inc.                                                                       ,Industrials           ,Construction and Engineering                         ,NYSE    ,32264.1   ,32041.03        ,720.73    ,772.0       ,82.79117372353674      ,High
K         ,Kinross Gold Corporation                                                               ,Materials             ,Metals and Mining                                    ,TSX     ,38013.59  ,37547.64        ,42.88     ,45.7507     ,82.08359277708595      ,High
1212      ,Astra Industrial Group Company                                                         ,Industrials           ,Industrial Conglomerates                             ,SASE    ,3199.4    ,3070.21         ,150.0     ,162.0       ,81.8919676214197       ,High
CW        ,Curtiss-Wright Corporation                                                             ,Industrials           ,Aerospace and Defense                                ,NYSE    ,24215.21  ,25123.18        ,656.69    ,638.1429    ,81.7241594022416       ,High
3293      ,International Games System Co.Ltd.                                                     ,Communication Services,Entertainment                                        ,TPEX    ,6385.73   ,5995.13         ,716.0     ,981.25      ,81.5090286425903       ,High
ALKB      ,ALK-Abelló A/S                                                                         ,Health Care           ,Pharmaceuticals                                      ,CPSE    ,7308.31   ,7276.16         ,207.6     ,214.0       ,81.49501867995019      ,High
AWI       ,Armstrong World Industries Inc.                                                        ,Industrials           ,Building Products                                    ,NYSE    ,7924.35   ,8334.35         ,183.74    ,211.1       ,81.43679950186801      ,High
CRS       ,Carpenter Technology Corporation                                                       ,Industrials           ,Aerospace and Defense                                ,NYSE    ,15831.02  ,16297.82        ,317.83    ,384.9414    ,81.25871731008719      ,High
KLAC      ,KLA Corporation                                                                        ,Information Technology,Semiconductors and Semiconductor Equipment           ,NasdaqGS,187620.38 ,188299.04       ,1427.94   ,1594.4138   ,80.68820049813202      ,High
LUG       ,Lundin Gold Inc.                                                                       ,Materials             ,Metals and Mining                                    ,TSX     ,18120.81  ,17615.09        ,102.08    ,109.0833    ,80.45828144458282      ,High
PSMT      ,PriceSmart Inc.                                                                        ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,NasdaqGS,4274.05   ,4285.91         ,142.21    ,143.0       ,80.06234433374846      ,High
CLH       ,Clean Harbors Inc.                                                                     ,Industrials           ,Commercial Services and Supplies                     ,NYSE    ,13887.47  ,16255.04        ,259.91    ,266.3846    ,80.0219489414695       ,High
SKY       ,Champion Homes Inc.                                                                    ,Consumer Discretionary,Household Durables                                   ,NYSE    ,4378.17   ,3882.4          ,78.38     ,95.8        ,79.82674346201745      ,High
SNA       ,Snap-on Incorporated                                                                   ,Industrials           ,Machinery                                            ,NYSE    ,19040.49  ,18832.79        ,366.11    ,361.0       ,79.68314134495641      ,High
GRUMAB    ,Gruma S.A.B. de C.V.                                                                   ,Consumer Staples      ,Food Products                                        ,BMV     ,6190.21   ,7606.21         ,314.69    ,384.1538    ,79.62087484433376      ,High
PH        ,Parker-Hannifin Corporation                                                            ,Industrials           ,Machinery                                            ,NYSE    ,118090.56 ,127542.56       ,935.84    ,983.1739    ,79.53206724782068      ,High
A278470   ,APR Co. Ltd.                                                                           ,Consumer Staples      ,Personal Care Products                               ,KOSE    ,6972.59   ,6955.26         ,270000.0  ,320653.8461 ,79.52163760896639      ,High
FSS       ,Federal Signal Corporation                                                             ,Industrials           ,Machinery                                            ,NYSE    ,6572.8    ,6761.5          ,108.09    ,133.8333    ,79.50342465753425      ,High
IDR       ,Indra Sistemas S.A.                                                                    ,Information Technology,IT Services                                          ,BME     ,11397.51  ,11609.7         ,54.6      ,55.0688     ,79.27187110834372      ,High
DXPE      ,DXP Enterprises Inc.                                                                   ,Industrials           ,Trading Companies and Distributors                   ,NasdaqGS,2039.09   ,2602.97         ,130.05    ,136.5       ,79.26105230386052      ,High
SFM       ,Sprouts Farmers Market Inc.                                                            ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,NasdaqGS,6904.47   ,8440.98         ,70.91     ,115.8571    ,79.23116438356165      ,High
MTHH      ,MT Højgaard Holding A/S                                                                ,Industrials           ,Construction and Engineering                         ,CPSE    ,678.12    ,626.73          ,551.0     ,580.0       ,79.17465753424659      ,High
DOL       ,Dollarama Inc.                                                                         ,Consumer Discretionary,Broadline Retail                                     ,TSX     ,36811.42  ,40608.86        ,183.5     ,211.375     ,79.16617372353674      ,High
ITRN      ,Ituran Location and Control Ltd.                                                       ,Information Technology,Communications Equipment                             ,NasdaqGS,887.85    ,806.14          ,44.63     ,49.5        ,79.13737546699876      ,High
FOXA      ,Fox Corporation                                                                        ,Communication Services,Media                                                ,NasdaqGS,30611.61  ,33879.61        ,72.78     ,73.2188     ,79.09013075965132      ,High
CRUS      ,Cirrus Logic Inc.                                                                      ,Information Technology,Semiconductors and Semiconductor Equipment           ,NasdaqGS,6651.3    ,5895.72         ,130.34    ,140.8333    ,78.90286425902866      ,High
MEDP      ,Medpace Holdings Inc.                                                                  ,Health Care           ,Life Sciences Tools and Services                     ,NasdaqGS,16407.43  ,16266.05        ,582.48    ,545.75      ,78.89243462017436      ,High
ACT       ,AlzChem Group AG                                                                       ,Materials             ,Chemicals                                            ,XTRA    ,1843.63   ,1749.11         ,154.6     ,176.94      ,78.86239103362392      ,High
500480    ,Cummins India Limited                                                                  ,Industrials           ,Machinery                                            ,BSE     ,12426.0   ,12061.64        ,4110.1    ,4443.3333   ,78.86176836861769      ,High
UTHR      ,United Therapeutics Corporation                                                        ,Health Care           ,Biotechnology                                        ,NasdaqGS,20214.64  ,15879.74        ,469.49    ,530.835     ,78.84059775840599      ,High
OLLI      ,Ollie's Bargain Outlet Holdings Inc.                                                   ,Consumer Discretionary,Broadline Retail                                     ,NasdaqGM,6765.59   ,7250.29         ,110.31    ,141.6667    ,78.79109589041097      ,High
002558    ,Giant Network Group Co. Ltd.                                                           ,Communication Services,Entertainment                                        ,SZSE    ,11960.1   ,11240.08        ,43.98     ,49.608      ,78.65286425902866      ,High
505200    ,Eicher Motors Limited                                                                  ,Consumer Discretionary,Automobiles                                          ,BSE     ,21307.4   ,20824.82        ,7122.3    ,7266.6857   ,78.56763698630137      ,High
ORLY      ,O'Reilly Automotive Inc.                                                               ,Consumer Discretionary,Specialty Retail                                     ,NasdaqGS,83068.28  ,91198.53        ,98.41     ,108.76      ,78.49626400996266      ,High
MATX      ,Matson Inc.                                                                            ,Industrials           ,Marine Transportation                                ,NYSE    ,4998.16   ,5624.46         ,160.3     ,190.0       ,78.3157689912827       ,High
ARCC      ,Arabian Cement Company S.A.E.                                                          ,Materials             ,Construction Materials                               ,CASE    ,371.44    ,323.73          ,46.4      ,58.8        ,78.29420921544212      ,High
GRGD      ,Groupe Dynamite Inc.                                                                   ,Consumer Discretionary,Specialty Retail                                     ,TSX     ,5711.05   ,5846.04         ,70.88     ,101.3077    ,78.26074097135742      ,High
NHY       ,Norsk Hydro ASA                                                                        ,Materials             ,Metals and Mining                                    ,OB      ,17804.2   ,20051.73        ,86.32     ,79.5625     ,77.84262141967622      ,High
ORS       ,Orsero S.p.A.                                                                          ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,BIT     ,389.94    ,521.92          ,19.48     ,26.275      ,77.63675280199253      ,High
MLI       ,Mueller Industries Inc.                                                                ,Industrials           ,Machinery                                            ,NYSE    ,15113.4   ,13852.43        ,136.14    ,135.5       ,77.5880292652553       ,High
UHS       ,Universal Health Services Inc.                                                         ,Health Care           ,Health Care Providers and Services                   ,NYSE    ,12575.23  ,17701.04        ,201.26    ,250.3529    ,77.5747198007472       ,High
A307950   ,Hyundai Autoever Corporation                                                           ,Information Technology,IT Services                                          ,KOSE    ,8731.55   ,8392.86         ,461500.0  ,332500.0    ,77.5557285180573       ,High
EXLS      ,ExlService Holdings Inc.                                                               ,Industrials           ,Professional Services                                ,NasdaqGS,6152.38   ,6198.77         ,39.15     ,52.1429     ,77.55136986301372      ,High
RBT       ,Robertet SA                                                                            ,Materials             ,Chemicals                                            ,ENXTPA  ,1952.33   ,2096.22         ,846.0     ,978.5       ,77.54950186799503      ,High
