ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,distress_probability,liquidity_stress_score,cash_runway_months   ,altman_z_score,altman_z_trend,interest_coverage    ,quick_ratio        ,risk_level,confidence_interval                          ,data_quality_score
CEM       ,Cementir Holding N.V.                                           ,Materials             ,Construction Materials                               ,NL     ,BIT     ,0.43                ,0.0                   ,0.0                  ,              ,              ,-12.865024630541871  ,                   ,Medium    ,"(0.33999999999999997, 0.52)"                ,0.6
VAIAS     ,Vaisala Oyj                                                     ,Information Technology,Electronic Equipment Instruments and Components      ,FI     ,HLSE    ,0.5800000000000001  ,0.0                   ,0.0                  ,6.33          ,-0.64         ,-5.857142857142857   ,1.4156284817178162 ,High      ,"(0.53, 0.6300000000000001)"                 ,1.0
2579      ,Coca-Cola Bottlers Japan Holdings Inc.                          ,Consumer Staples      ,Beverages                                            ,JP     ,TSE     ,0.58                ,15.0                  ,0.7655717207590962   ,1.87          ,0.32          ,118.81773399014779   ,0.9103514461579191 ,High      ,"(0.53, 0.6299999999999999)"                 ,1.0
HEIJM     ,Koninklijke Heijmans N.V.                                       ,Industrials           ,Construction and Engineering                         ,NL     ,ENXTAM  ,0.53                ,15.0                  ,0.3692338608389852   ,2.94          ,-0.15         ,-11.955064194008559  ,0.5963410088627515 ,High      ,"(0.48000000000000004, 0.5800000000000001)"  ,1.0
500420    ,Torrent Pharmaceuticals Limited                                 ,Health Care           ,Pharmaceuticals                                      ,IN     ,BSE     ,0.33                ,15.0                  ,0.9337660682243816   ,              ,              ,-14.731937602627259  ,0.8399166733434821 ,Medium    ,"(0.26, 0.4)"                                ,0.8
6269      ,MODEC Inc.                                                      ,Energy                ,Energy Equipment and Services                        ,JP     ,TSE     ,0.6799999999999999  ,30.0                  ,3.616134252988532    ,1.81          ,-0.39         ,-3.4449731389102074  ,0.901202922990444  ,High      ,"(0.6299999999999999, 0.73)"                 ,1.0
NHY       ,Norsk Hydro ASA                                                 ,Materials             ,Metals and Mining                                    ,NO     ,OB      ,0.33                ,0.0                   ,1.0529911027269603   ,3.25          ,-0.27         ,-20.115155801472728  ,1.2537809860088454 ,Medium    ,"(0.28, 0.38)"                               ,1.0
9843      ,Nitori Holdings Co. Ltd.                                        ,Consumer Discretionary,Specialty Retail                                     ,JP     ,TSE     ,0.43                ,15.0                  ,2.16919820462174     ,3.67          ,0.06          ,-26.443595230816264  ,0.7821138289078217 ,Medium    ,"(0.38, 0.48)"                               ,1.0
IPCALAB   ,Ipca Laboratories Limited                                       ,Health Care           ,Pharmaceuticals                                      ,IN     ,NSEI    ,0.33                ,0.0                   ,0.3988138532982711   ,              ,              ,-18.721311475409838  ,1.576354852261588  ,Medium    ,"(0.26, 0.4)"                                ,0.8
9041      ,Kintetsu Group Holdings Co.Ltd.                                 ,Industrials           ,Ground Transportation                                ,JP     ,TSE     ,0.99                ,15.0                  ,1.7393929176400698   ,1.19          ,-0.04         ,-6.731336458214245   ,0.818734350050286  ,Distressed,"(0.94, 1)"                                  ,1.0
