ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,dividend_cut_probability,fcf_dividend_coverage,payout_ratio          ,dividend_streak,dividend_consistency,yield_vs_5y_avg      ,sustainable_flag,safety_score      ,risk_category
CEM       ,Cementir Holding N.V.                                           ,Materials             ,Construction Materials                               ,NL     ,BIT     ,0.3                     ,                     ,                      ,6              ,0.6                 ,                     ,0               ,70.0              ,Monitor
VAIAS     ,Vaisala Oyj                                                     ,Information Technology,Electronic Equipment Instruments and Components      ,FI     ,HLSE    ,0.03                    ,2.0192943770672547   ,0.48561102931334493   ,7              ,0.7                 ,1.0994152046783625   ,1               ,97.0              ,Safe
2579      ,Coca-Cola Bottlers Japan Holdings Inc.                          ,Consumer Staples      ,Beverages                                            ,JP     ,TSE     ,0.39                    ,2.312736634862941    ,                      ,3              ,0.3                 ,0.669260700389105    ,0               ,61.0              ,Borderline
HEIJM     ,Koninklijke Heijmans N.V.                                       ,Industrials           ,Construction and Engineering                         ,NL     ,ENXTAM  ,0.39                    ,4.4801066057490955   ,                      ,2              ,0.2                 ,0.7173144876325088   ,0               ,61.0              ,Borderline
500420    ,Torrent Pharmaceuticals Limited                                 ,Health Care           ,Pharmaceuticals                                      ,IN     ,BSE     ,0.52                    ,1.2541218931999016   ,0.49961067169378304   ,1              ,0.1                 ,0.8247422680412371   ,0               ,48.0              ,Borderline
6269      ,MODEC Inc.                                                      ,Energy                ,Energy Equipment and Services                        ,JP     ,TSE     ,0.24000000000000002     ,15.160133937364586   ,                      ,4              ,0.4                 ,0.7821782178217822   ,0               ,76.0              ,Monitor
NHY       ,Norsk Hydro ASA                                                 ,Materials             ,Metals and Mining                                    ,NO     ,OB      ,0.49                    ,2.256040057481588    ,0.3680204933272735    ,1              ,0.1                 ,0.5230125523012552   ,0               ,51.0              ,Borderline
9843      ,Nitori Holdings Co. Ltd.                                        ,Consumer Discretionary,Specialty Retail                                     ,JP     ,TSE     ,0.24000000000000002     ,4.379304392854061    ,                      ,2              ,0.2                 ,1.2592592592592593   ,0               ,76.0              ,Monitor
IPCALAB   ,Ipca Laboratories Limited                                       ,Health Care           ,Pharmaceuticals                                      ,IN     ,NSEI    ,0.33999999999999997     ,4.539055793991416    ,0.10067404078810922   ,1              ,0.1                 ,0.8                  ,0               ,66.0              ,Monitor
9041      ,Kintetsu Group Holdings Co.Ltd.                                 ,Industrials           ,Ground Transportation                                ,JP     ,TSE     ,0.57                    ,0.6902173913043478   ,                      ,2              ,0.2                 ,1.2540983606557377   ,0               ,43.00000000000001 ,Borderline
TFG       ,The Foschini Group Limited                                      ,Consumer Discretionary,Specialty Retail                                     ,ZA     ,JSE     ,0.33999999999999997     ,4.308978161229442    ,                      ,1              ,0.1                 ,1.4262820512820513   ,0               ,66.0              ,Monitor
