ticker    ,name                                                                                   ,industry                                             ,region                     ,market_cap,piotroski_f_score,long_term_trend_score,dilution_score    ,distress_risk_score,cash_runway_months ,earnings_quality_composite,net_income_growth_yoy,cash_flow_quality_score,fcf_yield          ,eps_cont_vs_total_eps,discontinued_ops_impact,rnd_intensity_ltm  ,high_rnd_intensity_flag,inventory_days     ,inventory_turnover_itf,goodwill_concentration,recent_acquisition_flag,tangible_book_value_ltm,tbv_yoy_growth     ,marketing_to_revenue,sga_vs_5y_avg      ,capex_yoy_growth   ,capex_vs_5y_avg   ,underinvestment_flag,acquisitions_ltm_total,serial_acquirer_flag,ma_intensity_score,total_investment_to_cfo,organic_vs_inorganic,investment_efficiency
STORYB    ,Storytel AB (publ)                                                                     ,Media                                                ,Europe                     ,738.35    ,7                ,0.0913186497931737   ,49.74181838814003 ,100.0              ,1.831823638546328  ,40                        ,-121.88577055637616  ,75                     ,8.764136249746054  ,1.0                  ,0.0                    ,5.083615227023679  ,0                      ,14.430789416138202 ,25.293141592920357    ,0.0                   ,0                      ,-41.31                 ,1073.5795454545455 ,0.0                 ,0.8858505564387917 ,-28.947368421052634,4.4222222222222225,0                   ,0.43                  ,1                   ,0.126694166175604 ,0.0204206034745504     ,2.1162790697674416  ,-3.4125
RAND      ,Randstad N.V.                                                                          ,Professional Services                                ,Europe                     ,5712.64   ,5                ,-0.4299585326760187  ,52.81189342029013 ,100.0              ,0.1548983534996332 ,45                        ,-81.50357822003514   ,100                    ,14.858104133990588 ,1.0                  ,0.0                    ,0.0                ,0                      ,0.0                ,                      ,0.0                   ,0                      ,566.45                 ,114.84923193627915 ,0.7254757270364062  ,0.8948922003538813 ,-1.3701811425917323,1.252981795354677 ,0                   ,331.06                ,1                   ,2.634007708048896 ,0.4135630465316478     ,0.1028514468676372  ,-30.006719906505648
NORBT     ,Norbit ASA                                                                             ,Electronic Equipment Instruments and Components      ,Europe                     ,1262.81   ,4                ,3.4667284427284426   ,43.6110610198394  ,100.0              ,0.9934685458920592 ,70                        ,17.160087719298243   ,100                    ,3.02420791726388   ,1.0                  ,0.0                    ,0.0                ,0                      ,270.1476409543169  ,1.3511130384504193    ,39.50155267139104     ,0                      ,30.14                  ,-34.5636126791142  ,0.3380135205408216  ,1.704054054054054  ,-23.24561403508772 ,1.1               ,0                   ,0.01                  ,1                   ,0.0039948865452221,0.111886485229123      ,480.0               ,0.496
KID       ,Kid ASA                                                                                ,Specialty Retail                                     ,Europe                     ,521.12    ,4                ,0.1428512965875803   ,50.0              ,100.0              ,0.0                ,70                        ,13.337649724830042   ,100                    ,8.522029474976973  ,1.0                  ,0.0                    ,0.0                ,0                      ,241.13429463751743 ,1.5136793401730033    ,5.668515095502157     ,0                      ,-36.41                 ,304.10654827968926 ,4.6110810323046385  ,0.8603561387066541 ,13.594040968342645 ,1.1510416666666667,0                   ,0.0                   ,0                   ,0.0               ,0.3775753328661527     ,                    ,-0.2197392923649906
AKRBP     ,Aker BP ASA                                                                            ,Oil Gas and Consumable Fuels                         ,Europe                     ,18348.36  ,3                ,0.0603453681575202   ,49.799313560666135,0.0                ,6.73383775500431   ,60                        ,36.83461855207008    ,75                     ,1.603413057079761  ,1.0                  ,0.0                    ,0.0                ,0                      ,177.3824819006832  ,2.0577003776751996    ,99.49311229053609     ,0                      ,-2312.3                ,-4.588405199092222 ,0.0                 ,0.0                ,50.51393618362971  ,2.213040752351097 ,0                   ,0.0                   ,0                   ,0.0               ,0.9542791427727788     ,                    ,-0.4066717114390213
WAWI      ,Wallenius Wilhelmsen ASA                                                               ,Marine Transportation                                ,Europe                     ,5264.44   ,4                ,1.0923653413934744   ,49.93894824732343 ,33.33333333333333  ,3.177423312883436  ,70                        ,14.067995310668229   ,100                    ,30.031684281708973 ,1.0                  ,0.0                    ,0.0                ,0                      ,15.813439434129087 ,23.081632653061224    ,5.147759771210676     ,0                      ,2889.0                 ,-3.507014028056112 ,0.0                 ,0.0                ,29.13907284768212  ,1.4982224479431183,0                   ,0.0                   ,0                   ,0.0               ,0.1245847176079734     ,                    ,1.0529801324503312
8069      ,E Ink Holdings Inc.                                                                    ,Electronic Equipment Instruments and Components      ,Asia / Pacific             ,6949.58   ,6                ,-0.1499057053145262  ,49.116867471036365,100.0              ,7.920504006476063  ,90                        ,6.030249459831073    ,75                     ,3.042198233562316  ,1.0                  ,0.0                    ,12.382576978405956 ,1                      ,85.05800092516813  ,4.291189494579325     ,11.584340394247116    ,0                      ,1868.54                ,25.11483400961525  ,0.0                 ,1.1398819854217286 ,10.38079678270705  ,0.831041257367387 ,0                   ,8.59                  ,0                   ,0.2540255208410344,0.3437621327811569     ,11.369033760186264  ,1.2002010808093504
RIAA3     ,Guararapes Confecções S.A.                                                             ,Textiles Apparel and Luxury Goods                    ,Latin America and Caribbean,954.12    ,7                ,0.5845197806382084   ,49.82807644205868 ,0.0                ,0.6972875717147027 ,80                        ,-638.5269121813031   ,75                     ,18.64230914350396  ,1.0                  ,0.0                    ,0.0                ,0                      ,160.03527484716383 ,2.28074716870128      ,0.0                   ,0                      ,934.37                 ,18.678792343549556 ,0.0                 ,1.1294146460935588 ,-3.28757225433526  ,1.3351468988030468,0                   ,0.0                   ,0                   ,0.0               ,0.1893172910400145     ,                    ,-9.223265895953757
9899      ,NetEase Cloud Music Inc.                                                               ,Entertainment                                        ,Asia / Pacific             ,5092.42   ,6                ,0.4923584325563195   ,49.46422771159169 ,100.0              ,3.9403228547153777 ,60                        ,106.81554524361948   ,25                     ,4.696195521971872  ,1.0                  ,0.0                    ,9.89886408001636   ,0                      ,0.0                ,                      ,0.0                   ,0                      ,1691.27                ,21.291030486449273 ,0.0                 ,0.6773949261643316 ,-34.61538461538461 ,0.6               ,1                   ,0.0                   ,0                   ,0.0               ,0.0040811227251905     ,                    ,-24.564102564102566
500440    ,Hindalco Industries Limited                                                            ,Metals and Mining                                    ,Asia / Pacific             ,23640.41  ,4                ,1.1330756181371435   ,50.08061991745129 ,100.0              ,0.6481744773082734 ,90                        ,53.68173165288171    ,75                     ,1.2489631101998655 ,1.0                  ,0.0                    ,0.0                ,0                      ,128.23721583713353 ,2.8462876210878187    ,20.904057132732962    ,0                      ,11349.97               ,6.483801753844451  ,0.0                 ,1.203658536585366  ,28.050117877672115 ,0.0               ,1                   ,0.0                   ,0                   ,0.0               ,0.8951537877012449     ,                    ,1.058748112632778
