method,class_0,class_1,class_2,class_3,class_4,class_0_pct,class_1_pct,class_2_pct,class_3_pct,class_4_pct,max_pct,imbalance
price_momentum,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
valuation,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
fundamental,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
volatility,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
analyst_rating,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
market_events,1282,5,8,2,110,91.11584932480456,0.35536602700781805,0.5685856432125089,0.14214641080312723,7.818052594171997,91.11584932480456,71.11584932480456
combined_signals,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
profitability_event,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
leverage_event,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
liquidity_event,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
efficiency_event,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
growth_event,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
quality_event,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
composite_event,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
cashflow_event,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
capital_allocation_event,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
employee_productivity_event,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
balance_sheet_event,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
revenue_forecast_event,1407,0,0,0,0,100.0,0.0,0.0,0.0,0.0,100.0,80.0
