ticker    ,name                                                                            ,sector                ,industry                                             ,country,exchange,last_price,pt_median  ,pt_spread          ,expected_upside_pct  ,upside_std         ,var_5_pct             ,prob_positive_upside,risk_reward_ratio
CL        ,Colgate-Palmolive Company                                                       ,Consumer Staples      ,Household Products                                   ,US     ,NYSE    ,90.29     ,88.0       ,13.0               ,-1.489607542358284   ,2.945448893826963  ,-6.067316730535128    ,30.349999999999998  ,-0.5057319261183536
IMO       ,Imperial Oil Limited                                                            ,Energy                ,Oil Gas and Consumable Fuels                         ,CA     ,TSX     ,137.57    ,110.0      ,48.0               ,-17.01677030996327   ,7.236014785933039  ,-28.337196822369155   ,0.53                ,-2.3516771058904165
NVR       ,NVR Inc.                                                                        ,Consumer Discretionary,Household Durables                                   ,US     ,NYSE    ,7635.73   ,8475.0     ,1922.0             ,7.387986129490394    ,5.2538037995332445 ,-2.1520677103067984   ,89.13               ,1.4062166025588458
CVX       ,Chevron Corporation                                                             ,Energy                ,Oil Gas and Consumable Fuels                         ,US     ,NYSE    ,176.9     ,175.0      ,53.16              ,0.5625810286480315   ,6.165283028010799  ,-9.33554902493902     ,51.51               ,0.09124983007139346
CHTR      ,Charter Communications Inc.                                                     ,Communication Services,Media                                                ,US     ,NasdaqGS,206.12    ,275.0      ,319.0              ,47.51889703101095    ,32.02442107546018  ,-1.4398202204335906   ,94.23               ,1.483833132191231
CNR       ,Canadian National Railway Company                                               ,Industrials           ,Ground Transportation                                ,CA     ,TSX     ,130.99    ,155.0      ,54.0               ,22.475327361902895   ,8.530985417390978  ,9.204668996705786     ,100.0               ,2.6345523128061448
VZ        ,Verizon Communications Inc.                                                     ,Communication Services,Diversified Telecommunication Services               ,US     ,NYSE    ,44.52     ,46.0       ,30.0               ,16.851149888292237   ,14.443917131646826 ,-3.286051328781988    ,88.57000000000001   ,1.1666606596192062
RCL       ,Royal Caribbean Cruises Ltd.                                                    ,Consumer Discretionary,Hotels Restaurants and Leisure                       ,US     ,NYSE    ,324.65    ,350.0      ,197.0              ,1.934175221754063    ,12.390377882848888 ,-20.078474090028035   ,58.9                ,0.15610300509328318
LYB       ,LyondellBasell Industries N.V.                                                  ,Materials             ,Chemicals                                            ,US     ,NYSE    ,49.0      ,48.0       ,54.0               ,18.497002469055804   ,23.84432225528203  ,-15.00269976939371    ,73.42               ,0.7757403322695959
REGN      ,Regeneron Pharmaceuticals Inc.                                                  ,Health Care           ,Biotechnology                                        ,US     ,NasdaqGS,741.4499  ,850.0      ,427.0              ,13.86286481847142    ,11.702509486626408 ,-5.702279803828463    ,86.5                ,1.1846061594151118
ARCB      ,ArcBest Corporation                                                             ,Industrials           ,Ground Transportation                                ,US     ,NasdaqGS,90.22     ,91.0       ,46.0               ,5.2848085963810565   ,10.488990128626165 ,-11.052507770483208   ,66.7                ,0.5038434140535561
APD       ,Air Products and Chemicals Inc.                                                 ,Materials             ,Chemicals                                            ,US     ,NYSE    ,272.5     ,290.0      ,91.0               ,7.8061634597700875   ,6.869265636492799  ,-3.3112101725158953   ,86.16               ,1.136389808293341
XOM       ,Exxon Mobil Corporation                                                         ,Energy                ,Oil Gas and Consumable Fuels                         ,US     ,NYSE    ,141.4     ,133.5      ,44.0               ,-4.5445398380044315  ,6.344455741426406  ,-14.873886566494818   ,24.610000000000003  ,-0.7163009757213147
ALV       ,Autoliv Inc.                                                                    ,Consumer Discretionary,Automobile Components                                ,SE     ,NYSE    ,121.24    ,140.0      ,34.400000000000006 ,12.712420850119768   ,5.883030822480432  ,2.404497156817457     ,98.42               ,2.1608625271080757
BEPC      ,Brookfield Renewable Corporation                                                ,Utilities             ,Independent Power and Renewable Electricity Producers,US     ,NYSE    ,41.64     ,48.0       ,17.0               ,5.140897356153819    ,9.039943437447048  ,-11.683293329457337   ,71.77               ,0.5686868940858826
ALGT      ,Allegiant Travel Company                                                        ,Industrials           ,Passenger Airlines                                   ,US     ,NasdaqGS,88.63     ,100.0      ,35.0               ,14.70775299376775    ,8.093029934955707  ,1.816051458360628     ,97.85000000000001   ,1.8173357953665157
GNTX      ,Gentex Corporation                                                              ,Consumer Discretionary,Automobile Components                                ,US     ,NasdaqGS,23.01     ,27.5       ,17.0               ,36.974403762254774   ,16.212355491362732 ,15.00321003185208     ,100.0               ,2.2806312001950113
BBU       ,Brookfield Business Partners L.P.                                               ,Industrials           ,Industrial Conglomerates                             ,BM     ,NYSE    ,35.02     ,42.0       ,16.0               ,6.563294062171018    ,10.446332467806608 ,-13.210266313271914   ,73.52               ,0.6282869210220625
MOGA      ,Moog Inc.                                                                       ,Industrials           ,Aerospace and Defense                                ,US     ,NYSE    ,305.35    ,280.0      ,31.0               ,-7.2880182187755285  ,2.1092420771476927 ,-10.57466379891798    ,0.0                 ,-3.45527822421931
ENSG      ,The Ensign Group Inc.                                                           ,Health Care           ,Health Care Providers and Services                   ,US     ,NasdaqGS,171.66    ,206.0      ,20.0               ,21.564509284465053   ,2.442661567498548  ,17.998006703814983    ,100.0               ,8.828283693245554
ELISA     ,Elisa Oyj                                                                       ,Communication Services,Diversified Telecommunication Services               ,FI     ,HLSE    ,37.16     ,40.0       ,24.0               ,16.37026453295922    ,13.54318241144104  ,-3.4825415208399533   ,88.98               ,1.2087457759654712
LIFCOB    ,Lifco AB (publ)                                                                 ,Industrials           ,Industrial Conglomerates                             ,SE     ,OM      ,306.2     ,375.5      ,39.0               ,23.757228452133155   ,2.6460703908654266 ,19.650679858269648    ,100.0               ,8.978305540981127
COLR      ,Colruyt Group N.V.                                                              ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,BE     ,ENXTBR  ,32.36     ,37.5       ,19.06              ,15.964378760920116   ,12.006173038390733 ,-3.919931717415686    ,89.4                ,1.3296808824820943
SKFB      ,AB SKF (publ)                                                                   ,Industrials           ,Machinery                                            ,SE     ,OM      ,232.6     ,270.0      ,105.0              ,12.448663568211295   ,9.397031452249111  ,-4.260970291821346    ,88.5                ,1.3247442696631389
LIGHT     ,Signify N.V.                                                                    ,Industrials           ,Electrical Equipment                                 ,NL     ,ENXTAM  ,17.91     ,23.5       ,13.3               ,30.724827466487064   ,15.204649087359625 ,5.309279607701275     ,98.32               ,2.0207521587611073
ARJOB     ,Arjo AB (publ)                                                                  ,Health Care           ,Health Care Equipment and Supplies                   ,SE     ,OM      ,26.72     ,35.0       ,9.0                ,37.21225660421833    ,7.185740657172601  ,27.156302509089933    ,100.0               ,5.178625054756759
A307950   ,Hyundai Autoever Corporation                                                    ,Information Technology,IT Services                                          ,KR     ,KOSE    ,461500.0  ,240000.0   ,540000.0           ,-20.210852212160304  ,25.92088985559871  ,-55.266441718629885   ,23.39               ,-0.7797129004733964
