ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,achievement_probability,upside_potential     ,price_target_spread_pct,analyst_conviction,eps_revision_momentum,analyst_rating_normalized,expected_return_prob_weighted,confidence_level
CEM       ,Cementir Holding N.V.                                           ,Materials             ,Construction Materials                               ,NL     ,BIT     ,0.73                   ,4.342581423401689    ,50.28901734104046      ,50.0              ,0.01566              ,72.0                     ,3.1700844390832326           ,Low
VAIAS     ,Vaisala Oyj                                                     ,Information Technology,Electronic Equipment Instruments and Components      ,FI     ,HLSE    ,0.75                   ,13.839285714285714   ,13.72549019607843      ,80.0              ,-0.003055            ,85.0                     ,10.379464285714285           ,High
2579      ,Coca-Cola Bottlers Japan Holdings Inc.                          ,Consumer Staples      ,Beverages                                            ,JP     ,TSE     ,0.7999999999999999     ,-14.321890827236917  ,44.33497536945813      ,50.0              ,0.0                  ,70.0                     ,-11.457512661789533          ,Low
HEIJM     ,Koninklijke Heijmans N.V.                                       ,Industrials           ,Construction and Engineering                         ,NL     ,ENXTAM  ,0.75                   ,-20.13232514177694   ,28.007889546351084     ,33.333333333333336,0.09681              ,66.75                    ,-15.099243856332704          ,Medium
500420    ,Torrent Pharmaceuticals Limited                                 ,Health Care           ,Pharmaceuticals                                      ,IN     ,BSE     ,0.9                    ,-0.0994096783299174  ,26.781326781326783     ,63.333333333333336,-0.021025            ,80.5                     ,-0.08946871049692566         ,Medium
6269      ,MODEC Inc.                                                      ,Energy                ,Energy Equipment and Services                        ,JP     ,TSE     ,0.82                   ,-33.82096830372692   ,81.05263157894737      ,66.66666666666667 ,0.0                  ,83.25                    ,-27.733194009056074          ,Low
NHY       ,Norsk Hydro ASA                                                 ,Materials             ,Metals and Mining                                    ,NO     ,OB      ,0.75                   ,-3.28594733162433    ,65.06024096385542      ,25.0              ,-0.02306             ,54.75                    ,-2.4644604987182475          ,Low
9843      ,Nitori Holdings Co. Ltd.                                        ,Consumer Discretionary,Specialty Retail                                     ,JP     ,TSE     ,0.78                   ,-9.74493132766514    ,41.666666666666664     ,27.272727272727273,0.0                  ,63.75                    ,-7.60104643557881            ,Low
IPCALAB   ,Ipca Laboratories Limited                                       ,Health Care           ,Pharmaceuticals                                      ,IN     ,NSEI    ,0.8999999999999999     ,6.368654907768951    ,24.11392405063291      ,72.22222222222223 ,-0.00494             ,79.5                     ,5.731789416992055            ,Medium
9041      ,Kintetsu Group Holdings Co.Ltd.                                 ,Industrials           ,Ground Transportation                                ,JP     ,TSE     ,0.9                    ,-11.137440758293838  ,6.666666666666667      ,0.0               ,0.0                  ,50.0                     ,-10.023696682464454          ,High
TFG       ,The Foschini Group Limited                                      ,Consumer Discretionary,Specialty Retail                                     ,ZA     ,JSE     ,0.12                   ,30.107003891050585   ,45.32710280373832      ,50.0              ,-0.04589             ,75.0                     ,3.61284046692607             ,Low
6460      ,Sega Sammy Holdings Inc.                                        ,Consumer Discretionary,Leisure Products                                     ,JP     ,TSE     ,0.46                   ,38.97662665824384    ,36.36363636363637      ,72.72727272727273 ,0.0                  ,84.0                     ,17.929248262792164           ,Low
INCO      ,PT Vale Indonesia Tbk                                           ,Materials             ,Metals and Mining                                    ,ID     ,IDX     ,0.82                   ,9.613870967741935    ,84.74204171240395      ,78.57142857142857 ,-0.037505            ,84.0                     ,7.883374193548386            ,Low
EXCL      ,PT XLSMART Telecom Sejahtera Tbk                                ,Communication Services,Wireless Telecommunication Services                  ,ID     ,IDX     ,0.55                   ,14.912280701754385   ,88.54961832061069      ,20.0              ,0.0                  ,60.0                     ,8.201754385964913            ,Low
ARCLK     ,Arçelik Anonim Sirketi                                          ,Consumer Discretionary,Household Durables                                   ,TR     ,IBSE    ,0.35000000000000003    ,22.288519637462237   ,71.02711382867025      ,61.53846153846154 ,-0.467935            ,78.75                    ,7.800981873111784            ,Low
1969      ,Takasago Thermal Engineering Co. Ltd.                           ,Industrials           ,Building Products                                    ,JP     ,TSE     ,0.82                   ,-3.8648281219654304  ,59.5959595959596       ,50.0              ,0.0                  ,75.0                     ,-3.1691590600116526          ,Low
JEN       ,Jenoptik AG                                                     ,Information Technology,Electronic Equipment Instruments and Components      ,DE     ,XTRA    ,0.9                    ,-2.386117136659436   ,38.888888888888886     ,77.77777777777777 ,-0.028565            ,90.75                    ,-2.1475054229934925          ,Low
3088      ,MatsukiyoCocokara & Co.                                         ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,JP     ,TSE     ,0.5                    ,27.319025100036377   ,32.57142857142857      ,70.0              ,0.0                  ,80.0                     ,13.659512550018189           ,Medium
6592      ,Mabuchi Motor Co. Ltd.                                          ,Industrials           ,Electrical Equipment                                 ,JP     ,TSE     ,0.77                   ,-9.965849115181621   ,50.0                   ,0.0               ,0.0                  ,52.5                     ,-7.673703818689848           ,Low
1911      ,Sumitomo Forestry Co. Ltd.                                      ,Consumer Discretionary,Household Durables                                   ,JP     ,TSE     ,0.8800000000000001     ,10.893307196863624   ,12.121212121212121     ,100.0             ,0.0                  ,95.0                     ,9.58611033323999             ,High
7984      ,Kokuyo Co. Ltd.                                                 ,Industrials           ,Commercial Services and Supplies                     ,JP     ,TSE     ,0.86                   ,3.4996688010598365   ,10.666666666666666     ,50.0              ,0.0                  ,68.75                    ,3.0097151689114594           ,High
4403      ,NOF Corporation                                                 ,Materials             ,Chemicals                                            ,JP     ,TSE     ,0.53                   ,25.644329896907216   ,28.205128205128204     ,66.66666666666667 ,0.0                  ,85.0                     ,13.591494845360826           ,Medium
TAQA      ,Abu Dhabi National Energy Company PJSC                          ,Utilities             ,Multi-Utilities                                      ,AE     ,ADX     ,0.6                    ,2.73972602739726     ,65.0                   ,25.0              ,0.0                  ,33.25                    ,1.643835616438356            ,Low
