ticker    ,name                                                            ,region                     ,country,exchange,sector                ,industry                                             ,prob_positive_upside,last_price,expected_upside_pct ,filtered_upside      ,expected_return_prob_weighted,achievement_probability,confidence_level,posterior_beat_prob,confidence_score,beat_classification,mc_bullish,kal_bullish,pt_bullish,earn_bullish,agreement_score,signal
CEM       ,Cementir Holding N.V.                                           ,Europe                     ,NL     ,BIT     ,Materials             ,Construction Materials                               ,77.47               ,16.58     ,8.743392706848459   ,3.947804882879192    ,3.1700844390832326           ,0.73                   ,Low             ,0.5714285714285714 ,0.25            ,likely_beat        ,True      ,True       ,True      ,True        ,4              ,Strong Bullish (4/4)
VAIAS     ,Vaisala Oyj                                                     ,Europe                     ,FI     ,HLSE    ,Information Technology,Electronic Equipment Instruments and Components      ,100.0               ,44.8      ,17.61724819548522   ,12.581180268491075   ,10.379464285714285           ,0.75                   ,High            ,0.8636363636363636 ,0.45            ,likely_beat        ,True      ,True       ,True      ,True        ,4              ,Strong Bullish (4/4)
2579      ,Coca-Cola Bottlers Japan Holdings Inc.                          ,Asia / Pacific             ,JP     ,TSE     ,Consumer Staples      ,Beverages                                            ,10.25               ,3554.0    ,-10.95060067527663  ,-13.01991258819937   ,-11.457512661789533          ,0.7999999999999999     ,Low             ,0.6842105263157895 ,0.375           ,likely_beat        ,False     ,False      ,False     ,True        ,1              ,Bearish (1/4)
HEIJM     ,Koninklijke Heijmans N.V.                                       ,Europe                     ,NL     ,ENXTAM  ,Industrials           ,Construction and Engineering                         ,0.0                 ,79.35     ,-20.154736242957217 ,-18.302130403385732  ,-15.099243856332704          ,0.75                   ,Medium          ,0.7222222222222222 ,0.35            ,likely_beat        ,False     ,False      ,False     ,True        ,1              ,Bearish (1/4)
500420    ,Torrent Pharmaceuticals Limited                                 ,Asia / Pacific             ,IN     ,BSE     ,Health Care           ,Pharmaceuticals                                      ,49.120000000000005  ,4074.05   ,-0.06906091115884413,-0.09037251700139659 ,-0.08946871049692566         ,0.9                    ,Medium          ,0.6666666666666666 ,0.425           ,likely_beat        ,False     ,False      ,False     ,True        ,1              ,Bearish (1/4)
6269      ,MODEC Inc.                                                      ,Asia / Pacific             ,JP     ,TSE     ,Energy                ,Energy Equipment and Services                        ,5.47                ,14355.0   ,-21.407646888798414 ,-30.746362772529302  ,-27.733194009056074          ,0.82                   ,Low             ,0.631578947368421  ,0.375           ,likely_beat        ,False     ,False      ,False     ,True        ,1              ,Bearish (1/4)
NHY       ,Norsk Hydro ASA                                                 ,Europe                     ,NO     ,OB      ,Materials             ,Metals and Mining                                    ,21.84               ,85.82     ,-10.983224653079098 ,-2.9872275625654683  ,-2.4644604987182475          ,0.75                   ,Low             ,0.6                ,0.4             ,likely_beat        ,False     ,False      ,False     ,True        ,1              ,Bearish (1/4)
9843      ,Nitori Holdings Co. Ltd.                                        ,Asia / Pacific             ,JP     ,TSE     ,Consumer Discretionary,Specialty Retail                                     ,30.380000000000003  ,3058.0    ,-4.014327356800835  ,-8.859036533284627   ,-7.60104643557881            ,0.78                   ,Low             ,0.3888888888888889 ,0.35            ,uncertain          ,False     ,False      ,False     ,False       ,0              ,Strong Bearish (0/4)
IPCALAB   ,Ipca Laboratories Limited                                       ,Asia / Pacific             ,IN     ,NSEI    ,Health Care           ,Pharmaceuticals                                      ,78.55               ,1485.4    ,4.6012302060113495  ,5.789691543093258    ,5.731789416992055            ,0.8999999999999999     ,Medium          ,0.5714285714285714 ,0.425           ,likely_beat        ,True      ,True       ,True      ,True        ,4              ,Strong Bullish (4/4)
9041      ,Kintetsu Group Holdings Co.Ltd.                                 ,Asia / Pacific             ,JP     ,TSE     ,Industrials           ,Ground Transportation                                ,0.0                 ,3376.0    ,-11.157358246008876 ,-10.124955348316309  ,-10.023696682464454          ,0.9                    ,High            ,0.5                ,0.35            ,uncertain          ,False     ,False      ,False     ,False       ,0              ,Strong Bearish (0/4)
TFG       ,The Foschini Group Limited                                      ,Africa / Middle East       ,ZA     ,JSE     ,Consumer Discretionary,Specialty Retail                                     ,100.0               ,82.24     ,37.99567377096097   ,27.370028418913922   ,3.61284046692607             ,0.12                   ,Low             ,0.5                ,0.35            ,uncertain          ,True      ,True       ,True      ,False       ,3              ,Bullish (3/4)
6460      ,Sega Sammy Holdings Inc.                                        ,Asia / Pacific             ,JP     ,TSE     ,Consumer Discretionary,Leisure Products                                     ,100.0               ,2374.5    ,47.47411559916292   ,35.43332917383516    ,17.929248262792164           ,0.46                   ,Low             ,0.6111111111111112 ,0.35            ,likely_beat        ,True      ,True       ,True      ,True        ,4              ,Strong Bullish (4/4)
INCO      ,PT Vale Indonesia Tbk                                           ,Asia / Pacific             ,ID     ,IDX     ,Materials             ,Metals and Mining                                    ,53.839999999999996  ,6975.0    ,0.4732502455270823  ,8.739890643222894    ,7.883374193548386            ,0.82                   ,Low             ,0.4444444444444444 ,0.35            ,uncertain          ,True      ,True       ,True      ,False       ,3              ,Bullish (3/4)
