ticker,name,region,country,exchange,sector,industry,expected_upside_pct,price_target_mc,var_5_pct,risk_reward_ratio,prob_positive_upside,filtered_upside,kalman_estimate,kalman_variance,expected_return_prob_weighted,achievement_probability,price_target_prob_weighted,confidence_level,analyst_conviction,eps_revision_momentum,analyst_rating_normalized,mc_bullish,kal_bullish,pt_bullish,agreement_score,signal
NVDA,NVIDIA Corporation,United States and Canada,US,NasdaqGS,Information Technology,Semiconductors and Semiconductor Equipment,29.174225404347208,247.4332287620271,-9.077331752319516,1.2911114841228106,88.656,29.635299003748155,248.3164152416796,0.09090917355296778,11.290263638736622,0.37,213.1765,Low,89.0625,0.020775,92.25,True,True,True,3,Strong Bullish (3/3)
AMZN,Amazon.com Inc.,United States and Canada,US,NasdaqGS,Consumer Discretionary,Broadline Retail,33.18131886262962,273.38129322931985,0.593738456505781,1.7931229995352216,95.364,33.32810817323681,273.6826076472032,0.09090917355296778,12.429288254494082,0.32,230.7836,Low,91.42857142857143,0.001365,91.5,True,True,True,3,Strong Bullish (3/3)
META,Meta Platforms Inc.,United States and Canada,US,NasdaqGS,Communication Services,Interactive Media and Services,41.155263517623126,899.5119167660534,19.163898118528508,2.8542651550912406,100.0,31.962795203948158,840.9329124371596,0.09090917355296778,9.90937622597097,0.29000000000000004,700.3975,Low,89.85507246376811,0.00934,92.25,True,True,True,3,Strong Bullish (3/3)
INTEK,Ideal Holdings S.A.,Europe,GR,ATSE,Information Technology,Electronic Equipment Instruments and Components,43.22235467529027,8.349863277569423,40.302784346057976,24.639262361844953,100.0,39.295217384816226,8.120911173534786,0.09090917355296778,18.586620926243565,0.43,6.9136,High,50.0,-0.041905,100.0,True,True,True,3,Strong Bullish (3/3)
AVGO,Broadcom Inc.,United States and Canada,US,NasdaqGS,Information Technology,Semiconductors and Semiconductor Equipment,34.068271088845094,442.88112671489085,12.09536954761292,2.7317681688027786,100.0,34.60891927489602,444.6671039326915,0.09090917355296778,14.298661984621905,0.37,377.57419999999996,Low,87.27272727272727,0.097745,94.0,True,True,True,3,Strong Bullish (3/3)
SEE,Seeing Machines Limited,Asia / Pacific,AU,AIM,Information Technology,Electronic Equipment Instruments and Components,109.52145213547252,0.07438011550809273,30.706567203278873,2.539480851856891,99.748,99.61596763973081,0.07086366851210443,0.09090917355296778,49.788732394366185,0.35,0.05317499999999999,Low,100.0,-0.90212,100.0,True,True,True,3,Strong Bullish (3/3)
TSLA,Tesla Inc.,United States and Canada,US,NasdaqGS,Consumer Discretionary,Automobiles,-1.487107180844582,393.8840993588291,-46.472866411267226,-0.05963771550265532,52.11,4.979166124694087,419.73819991636435,0.09090917355296778,6.837881099467274,0.47000000000000003,427.1699,Low,24.489795918367346,-0.094555,62.25,False,True,True,2,Bullish (2/3)
AORT,Artivion Inc.,United States and Canada,US,NYSE,Health Care,Health Care Equipment and Supplies,35.476589484152036,50.65469680812445,18.131060782813297,3.7258302638203706,100.0,34.1331244675232,50.152375238406925,0.09090917355296778,17.53463492912544,0.42000000000000004,43.946200000000005,Medium,85.71428571428571,0.00053,85.75,True,True,True,3,Strong Bullish (3/3)
WMT,Walmart Inc.,United States and Canada,US,NasdaqGS,Consumer Staples,Consumer Staples Distribution and Retail,-7.574147141631278,116.28096548111368,-36.217634239283974,-0.4919349835273487,37.913999999999994,6.235237728229526,133.65455258588557,0.09090917355296778,7.560209840235275,0.85,135.3215,Low,86.36363636363636,-0.01223,89.0,False,True,True,2,Bullish (2/3)
LLY,Eli Lilly and Company,United States and Canada,US,NYSE,Health Care,Pharmaceuticals,12.735671400205415,1193.3747231740144,-10.510936969653905,0.970424224478649,81.172,13.109957160960938,1197.336762523068,0.09090917355296778,13.917964026602176,0.75,1205.8899999999999,Low,70.96774193548387,0.063285,83.25,True,True,True,3,Strong Bullish (3/3)
