ticker    ,name                                                            ,country,exchange,sector                ,industry                                             ,kalman_estimate   ,kalman_variance    ,kalman_gain       ,signal_strength   ,original_price,original_target,filtered_upside
CEM       ,Cementir Holding N.V.                                           ,NL     ,BIT     ,Materials             ,Construction Materials                               ,17.23454604958137 ,0.09090917355296778,0.9090917355296769,10.999989988000012,16.58         ,17.3           ,3.947804882879192
VAIAS     ,Vaisala Oyj                                                     ,FI     ,HLSE    ,Information Technology,Electronic Equipment Instruments and Components      ,50.436368760284   ,0.09090917355296778,0.9090917355296769,10.999989988000012,44.8          ,51.0           ,12.581180268491075
2579      ,Coca-Cola Bottlers Japan Holdings Inc.                          ,JP     ,TSE     ,Consumer Staples      ,Beverages                                            ,3091.2723066153944,0.09090917355296778,0.9090917355296769,10.999989988000012,3554.0        ,3045.0         ,-13.01991258819937
HEIJM     ,Koninklijke Heijmans N.V.                                       ,NL     ,ENXTAM  ,Industrials           ,Construction and Engineering                         ,64.82725952491342 ,0.09090917355296778,0.9090917355296769,10.999989988000012,79.35         ,63.375         ,-18.302130403385732
500420    ,Torrent Pharmaceuticals Limited                                 ,IN     ,BSE     ,Health Care           ,Pharmaceuticals                                      ,4070.368178471105 ,0.09090917355296778,0.9090917355296769,10.999989988000012,4074.05       ,4070.0         ,-0.09037251700139659
6269      ,MODEC Inc.                                                      ,JP     ,TSE     ,Energy                ,Energy Equipment and Services                        ,9941.359624003419 ,0.09090917355296778,0.9090917355296769,10.999989988000012,14355.0       ,9500.0         ,-30.746362772529302
NHY       ,Norsk Hydro ASA                                                 ,NO     ,OB      ,Materials             ,Metals and Mining                                    ,83.25636130580631 ,0.09090917355296778,0.9090917355296769,10.999989988000012,85.82         ,83.0           ,-2.9872275625654683
9843      ,Nitori Holdings Co. Ltd.                                        ,JP     ,TSE     ,Consumer Discretionary,Specialty Retail                                     ,2787.090662812156 ,0.09090917355296778,0.9090917355296769,10.999989988000012,3058.0        ,2760.0         ,-8.859036533284627
IPCALAB   ,Ipca Laboratories Limited                                       ,IN     ,NSEI    ,Health Care           ,Pharmaceuticals                                      ,1571.4000781811073,0.09090917355296778,0.9090917355296769,10.999989988000012,1485.4        ,1580.0         ,5.789691543093258
9041      ,Kintetsu Group Holdings Co.Ltd.                                 ,JP     ,TSE     ,Industrials           ,Ground Transportation                                ,3034.1815074408414,0.09090917355296778,0.9090917355296769,10.999989988000012,3376.0        ,3000.0         ,-10.124955348316309
TFG       ,The Foschini Group Limited                                      ,ZA     ,JSE     ,Consumer Discretionary,Specialty Retail                                     ,104.7491113717148 ,0.09090917355296778,0.9090917355296769,10.999989988000012,82.24         ,107.0          ,27.370028418913922
6460      ,Sega Sammy Holdings Inc.                                        ,JP     ,TSE     ,Consumer Discretionary,Leisure Products                                     ,3215.864401232716 ,0.09090917355296778,0.9090917355296769,10.999989988000012,2374.5        ,3300.0         ,35.43332917383516
INCO      ,PT Vale Indonesia Tbk                                           ,ID     ,IDX     ,Materials             ,Metals and Mining                                    ,7584.607372364797 ,0.09090917355296778,0.9090917355296769,10.999989988000012,6975.0        ,7645.5675      ,8.739890643222894
EXCL      ,PT XLSMART Telecom Sejahtera Tbk                                ,ID     ,IDX     ,Communication Services,Wireless Telecommunication Services                  ,3236.3639876001125,0.09090917355296778,0.9090917355296769,10.999989988000012,2850.0        ,3275.0         ,13.556631143863598
ARCLK     ,Arçelik Anonim Sirketi                                          ,TR     ,IBSE    ,Consumer Discretionary,Household Durables                                   ,159.22729711548075,0.09090917355296778,0.9090917355296769,10.999989988000012,132.4         ,161.91         ,20.262308999607814
1969      ,Takasago Thermal Engineering Co. Ltd.                           ,JP     ,TSE     ,Industrials           ,Building Products                                    ,4968.090744629594 ,0.09090917355296778,0.9090917355296769,10.999989988000012,5149.0        ,4950.0         ,-3.5134833049214573
