ticker,name,region,country,exchange,sector,industry,last_price,pt_median,pt_spread,expected_upside_pct,upside_std,var_5_pct,prob_positive_upside,risk_reward_ratio,price_target_mc
NVDA,NVIDIA Corporation,United States and Canada,US,NasdaqGS,Information Technology,Semiconductors and Semiconductor Equipment,191.55,250.0,212.0,29.174225404347208,22.596209361555143,-9.077331752319516,88.656,1.2911114841228106,247.4332287620271
AMZN,Amazon.com Inc.,United States and Canada,US,NasdaqGS,Consumer Discretionary,Broadline Retail,205.27,285.0,185.0,33.18131886262962,18.50476452046526,0.593738456505781,95.364,1.7931229995352216,273.38129322931985
META,Meta Platforms Inc.,United States and Canada,US,NasdaqGS,Communication Services,Interactive Media and Services,637.25,855.0,444.0,41.155263517623126,14.41886485010449,19.163898118528508,100.0,2.8542651550912406,899.5119167660534
INTEK,Ideal Holdings S.A.,Europe,GR,ATSE,Information Technology,Electronic Equipment Instruments and Components,5.83,8.35,0.5,43.22235467529027,1.7542065196814538,40.302784346057976,100.0,24.639262361844953,8.349863277569423
AVGO,Broadcom Inc.,United States and Canada,US,NasdaqGS,Information Technology,Semiconductors and Semiconductor Equipment,330.34,458.0,200.0,34.068271088845094,12.47114285828135,12.09536954761292,100.0,2.7317681688027786,442.88112671489085
SEE,Seeing Machines Limited,Asia / Pacific,AU,AIM,Information Technology,Electronic Equipment Instruments and Components,0.0355,0.086,0.0726,109.52145213547252,43.12749673043979,30.706567203278873,99.748,2.539480851856891,0.07438011550809273
TSLA,Tesla Inc.,United States and Canada,US,NasdaqGS,Consumer Discretionary,Automobiles,399.83,458.0,475.0,-1.487107180844582,24.93568320500757,-46.472866411267226,52.11,-0.05963771550265532,393.8840993588291
AORT,Artivion Inc.,United States and Canada,US,NYSE,Health Care,Health Care Equipment and Supplies,37.39,53.0,17.0,35.476589484152036,9.521794330956787,18.131060782813297,100.0,3.7258302638203706,50.65469680812445
WMT,Walmart Inc.,United States and Canada,US,NasdaqGS,Consumer Staples,Consumer Staples Distribution and Retail,125.81,137.0,88.0,-7.574147141631278,15.396642636232029,-36.217634239283974,37.913999999999994,-0.4919349835273487,116.28096548111368
LLY,Eli Lilly and Company,United States and Canada,US,NYSE,Health Care,Pharmaceuticals,1058.56,1255.0,670.0,12.735671400205415,13.12381851045354,-10.510936969653905,81.172,0.970424224478649,1193.3747231740144
XOM,Exxon Mobil Corporation,United States and Canada,US,NYSE,Energy,Oil Gas and Consumable Fuels,150.76,141.0,53.0,-4.896729411019601,7.177638636846714,-16.476822083967676,25.83,-0.6822201086973133,143.37769073994684
BORR,Borr Drilling Limited,Latin America and Caribbean,BM,NYSE,Energy,Energy Equipment and Services,5.8,5.6,2.5,-7.458335286566253,8.893590831827684,-23.294321897114955,21.678,-0.8386191165749327,5.367416553379157
JNJ,Johnson & Johnson,United States and Canada,US,NYSE,Health Care,Pharmaceuticals,245.84,237.0,110.0,-10.855340547234933,9.4570611473036,-28.245334087787846,11.97,-1.1478555946875748,219.15323079867764
MU,Micron Technology Inc.,United States and Canada,US,NasdaqGS,Information Technology,Semiconductors and Semiconductor Equipment,420.97,400.0,327.0,-11.395069453546204,15.991404951943343,-39.633092685058045,26.088,-0.7125746291704924,373.0001761214066
BRZE,Braze Inc.,United States and Canada,US,NasdaqGS,Information Technology,Software,15.79,44.0,39.0,197.49587511006393,50.80820971808923,117.61442028872959,100.0,3.887085890368413,46.974598679879094
COST,Costco Wholesale Corporation,United States and Canada,US,NasdaqGS,Consumer Staples,Consumer Staples Distribution and Retail,986.02,1050.0,555.0,-1.715739414062703,11.919680016466259,-23.445353058232044,49.366,-0.1439417343160656,969.102466229459
TYRA,Tyra Biosciences Inc.,United States and Canada,US,NasdaqGS,Health Care,Biotechnology,33.3,50.0,22.619999999999997,46.885398599157796,13.91473220521184,22.850276030604643,100.0,3.369479046215249,48.91283773351954
ORCL,Oracle Corporation,United States and Canada,US,NYSE,Information Technology,Software,141.31,275.0,245.0,95.69187176736187,35.326284795002366,37.0089801624404,100.0,2.7088008921022872,276.53218399445905
SAA,M&C Saatchi plc,Europe,GB,AIM,Consumer Staples,Media,1.255,1.52,0.75,21.342821022805545,12.209486718537235,1.0020078591019577,95.93,1.7480522740076772,1.5228524038362095
