ticker    ,name                                                                                   ,industry                                             ,eps_positive_streak,posterior_beat_prob,model_confidence   ,map_estimate
LUV       ,Southwest Airlines Co.                                                                 ,Passenger Airlines                                   ,4                  ,0.7071065989847716 ,0.19847187353281615,0.8
PHM       ,PulteGroup Inc.                                                                        ,Household Durables                                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
KEX       ,Kirby Corporation                                                                      ,Marine Transportation                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
LHX       ,L3Harris Technologies Inc.                                                             ,Aerospace and Defense                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
SNDK      ,Sandisk Corporation                                                                    ,Technology Hardware Storage and Peripherals          ,3                  ,0.5712871287128714 ,0.11043778001521287,0.6
NSC       ,Norfolk Southern Corporation                                                           ,Ground Transportation                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
HSLV      ,Highlander Silver Corp.                                                                ,Metals and Mining                                    ,0                  ,0.19022967101179392,0.4063138435328444 ,0.1
MO        ,Altria Group Inc.                                                                      ,Tobacco                                              ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
CMCSA     ,Comcast Corporation                                                                    ,Diversified Telecommunication Services               ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
VLO       ,Valero Energy Corporation                                                              ,Oil Gas and Consumable Fuels                         ,4                  ,0.7071065989847716 ,0.19847187353281615,0.8
OSK       ,Oshkosh Corporation                                                                    ,Machinery                                            ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
PH        ,Parker-Hannifin Corporation                                                            ,Machinery                                            ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
SYK       ,Stryker Corporation                                                                    ,Health Care Equipment and Supplies                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
DOW       ,Dow Inc.                                                                               ,Chemicals                                            ,1                  ,0.29289340101522837,0.19847187353281626,0.2
LMT       ,Lockheed Martin Corporation                                                            ,Aerospace and Defense                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
RCIB      ,Rogers Communications Inc.                                                             ,Wireless Telecommunication Services                  ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
CAT       ,Caterpillar Inc.                                                                       ,Machinery                                            ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
HON       ,Honeywell International Inc.                                                           ,Industrial Conglomerates                             ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
RMD       ,ResMed Inc.                                                                            ,Health Care Equipment and Supplies                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
DOV       ,Dover Corporation                                                                      ,Machinery                                            ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
AAPL      ,Apple Inc.                                                                             ,Technology Hardware Storage and Peripherals          ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
BIP       ,Brookfield Infrastructure Partners L.P.                                                ,Multi-Utilities                                      ,4                  ,0.7071065989847716 ,0.19847187353281615,0.8
TSCO      ,Tractor Supply Company                                                                 ,Specialty Retail                                     ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
TMO       ,Thermo Fisher Scientific Inc.                                                          ,Life Sciences Tools and Services                     ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
KLAC      ,KLA Corporation                                                                        ,Semiconductors and Semiconductor Equipment           ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
SHW       ,The Sherwin-Williams Company                                                           ,Chemicals                                            ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
TT        ,Trane Technologies plc                                                                 ,Building Products                                    ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
WDC       ,Western Digital Corporation                                                            ,Technology Hardware Storage and Peripherals          ,4                  ,0.7071065989847716 ,0.19847187353281615,0.8
MXL       ,MaxLinear Inc.                                                                         ,Semiconductors and Semiconductor Equipment           ,0                  ,0.19022967101179392,0.4063138435328444 ,0.1
SNDR      ,Schneider National Inc.                                                                ,Ground Transportation                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
CNX       ,CNX Resources Corporation                                                              ,Oil Gas and Consumable Fuels                         ,3                  ,0.5712871287128714 ,0.11043778001521287,0.6
APPF      ,AppFolio Inc.                                                                          ,Software                                             ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
ALGM      ,Allegro MicroSystems Inc.                                                              ,Semiconductors and Semiconductor Equipment           ,2                  ,0.4287128712871287 ,0.11043778001521287,0.4
TAL       ,TAL Education Group                                                                    ,Diversified Consumer Services                        ,4                  ,0.7071065989847716 ,0.19847187353281615,0.8
EMN       ,Eastman Chemical Company                                                               ,Chemicals                                            ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
EXP       ,Eagle Materials Inc.                                                                   ,Construction Materials                               ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
CVCO      ,Cavco Industries Inc.                                                                  ,Household Durables                                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
DECK      ,Deckers Outdoor Corporation                                                            ,Textiles Apparel and Luxury Goods                    ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
SKYW      ,SkyWest Inc.                                                                           ,Passenger Airlines                                   ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
OSIS      ,OSI Systems Inc.                                                                       ,Electronic Equipment Instruments and Components      ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
CRS       ,Carpenter Technology Corporation                                                       ,Aerospace and Defense                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
DLB       ,Dolby Laboratories Inc.                                                                ,Software                                             ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
CSW       ,CSW Industrials Inc.                                                                   ,Building Products                                    ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
AOS       ,A. O. Smith Corporation                                                                ,Building Products                                    ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
HOLX      ,Hologic Inc.                                                                           ,Health Care Equipment and Supplies                   ,4                  ,0.7071065989847716 ,0.19847187353281615,0.8
BC        ,Brunswick Corporation                                                                  ,Leisure Products                                     ,3                  ,0.5712871287128714 ,0.11043778001521287,0.6
YSN       ,secunet Security Networks Aktiengesellschaft                                           ,IT Services                                          ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
ANTO      ,Antofagasta plc                                                                        ,Metals and Mining                                    ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
CFR       ,Compagnie Financière Richemont SA                                                      ,Textiles Apparel and Luxury Goods                    ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
KRKG      ,Krka d. d.                                                                             ,Pharmaceuticals                                      ,4                  ,0.7071065989847716 ,0.19847187353281615,0.8
MTRS      ,Munters Group AB (publ)                                                                ,Building Products                                    ,3                  ,0.5712871287128714 ,0.11043778001521287,0.6
EPROB     ,Electrolux Professional AB (publ)                                                      ,Machinery                                            ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
HPOLB     ,HEXPOL AB (publ)                                                                       ,Chemicals                                            ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
BRE       ,Brembo N.V.                                                                            ,Automobile Components                                ,5                  ,0.8097703289882061 ,0.4063138435328443 ,0.9
