ticker    ,sector                ,region                     ,payout_score       ,fcf_coverage_score,div_growth_score    ,dividend_streak_score,balance_sheet_score,yield_quality_score,shareholder_return_score,dividend_sustainability_score,sustainability_grade
QBTS      ,Information Technology,United States and Canada   ,17.857142857142854 ,0.0               ,3.711139896373057   ,0.0                  ,7.1785705324546605 ,7.727115716753023  ,0.7791450777202072      ,35.5                         ,C
SARO      ,Industrials           ,United States and Canada   ,17.857142857142854 ,0.0               ,3.711139896373057   ,0.0                  ,7.949865253908712  ,7.727115716753023  ,0.7359671848013817      ,36.2                         ,C
EXENS     ,Industrials           ,Europe                     ,0.0                ,20.0              ,5.034974093264248   ,0.0                  ,5.463462182976291  ,7.727115716753023  ,2.093696027633851       ,38.4                         ,B
ALHG      ,Communication Services,Europe                     ,0.0                ,20.0              ,6.5997409326424865  ,0.0                  ,5.877359550125487  ,7.727115716753023  ,1.7545336787564767      ,40.0                         ,B
ASCO      ,Energy                ,Africa / Middle East       ,0.0                ,4.0               ,7.373056994818652   ,0.0                  ,6.6463836610432345 ,4.4382556131260795 ,2.8445595854922283      ,24.1                         ,D
RNA       ,Health Care           ,United States and Canada   ,17.857142857142854 ,0.0               ,3.711139896373057   ,0.0                  ,9.24310034894787   ,7.727115716753023  ,0.7823834196891192      ,37.4                         ,C
FML       ,Consumer Staples      ,Africa / Middle East       ,0.0                ,20.0              ,5.6910621761658025  ,3.0                  ,9.502348572695084  ,7.727115716753023  ,1.6828583765112262      ,45.3                         ,B
ABVX      ,Health Care           ,Europe                     ,17.857142857142854 ,0.0               ,3.711139896373057   ,0.0                  ,5.306962110390832  ,7.727115716753023  ,0.7797927461139896      ,33.7                         ,C
SMMT      ,Health Care           ,United States and Canada   ,17.857142857142854 ,0.0               ,3.711139896373057   ,0.0                  ,10.009225970180818 ,7.727115716753023  ,0.956174438687392       ,38.3                         ,B
USAR      ,Materials             ,United States and Canada   ,0.0                ,0.0               ,3.711139896373057   ,0.0                  ,9.650898446671196  ,7.727115716753023  ,0.7359671848013817      ,20.8                         ,D
AG1       ,Consumer Discretionary,Europe                     ,0.0                ,0.0               ,3.711139896373057   ,0.0                  ,5.259719730519765  ,7.727115716753023  ,1.1556563039723662      ,17.0                         ,F
ZAB       ,Consumer Staples      ,Europe                     ,0.0                ,0.0               ,3.711139896373057   ,0.0                  ,4.955182213396468  ,7.727115716753023  ,2.451856649395509       ,17.9                         ,F
TKMS      ,Industrials           ,Europe                     ,0.0                ,0.0               ,3.711139896373057   ,0.0                  ,8.393481736244158  ,7.727115716753023  ,1.1556563039723662      ,20.0                         ,F
BUAFOODS  ,Consumer Staples      ,Africa / Middle East       ,0.0                ,12.0              ,6.658031088082901   ,3.0                  ,6.475583954491606  ,3.9391191709844557 ,1.8270725388601035      ,32.3                         ,D
HTTBT     ,Information Technology,Africa / Middle East       ,17.857142857142854 ,0.0               ,3.711139896373057   ,0.0                  ,7.822865644018212  ,7.727115716753023  ,1.1556563039723662      ,36.5                         ,C
6979      ,Consumer Staples      ,Asia / Pacific             ,0.0                ,0.0               ,7.290155440414508   ,0.0                  ,7.016745883388922  ,7.727115716753023  ,2.609671848013817       ,23.5                         ,D
