ticker    ,sector                ,region                     ,payout_score      ,fcf_coverage_score  ,div_growth_score,balance_sheet_score,streak_score,dividend_sustainability_score,sustainability_grade
NVDA      ,Information Technology,United States and Canada   ,99.50909456336046 ,100.0               ,50.0            ,95.68452943722397  ,12.0        ,76.0                         ,B
GOOGL     ,Communication Services,United States and Canada   ,95.99399602417687 ,100.0               ,50.0            ,96.87906305242132  ,4.0         ,74.1                         ,B
VSNT      ,Communication Services,United States and Canada   ,50.0              ,50.0                ,50.0            ,99.96335318369218  ,0.0         ,50.0                         ,C
AAPL      ,Information Technology,United States and Canada   ,93.11623962146237 ,100.0               ,50.0            ,49.196424938629924 ,60.000004   ,74.7                         ,B
MSFT      ,Information Technology,United States and Canada   ,88.57525139354433 ,63.23053855817158   ,50.0            ,89.11296857546847  ,84.0        ,73.9                         ,B
OBCK      ,Health Care           ,Europe                     ,50.0              ,100.0               ,50.0            ,0.0                ,0.0         ,47.5                         ,D
AMZN      ,Consumer Discretionary,United States and Canada   ,100.0             ,50.0                ,50.0            ,81.88609527805947  ,0.0         ,59.8                         ,C
AVGO      ,Information Technology,United States and Canada   ,83.48256641366224 ,48.310895709926406  ,50.0            ,72.74803588709015  ,56.0        ,62.3                         ,C
PHVS      ,Health Care           ,Europe                     ,100.0             ,50.0                ,50.0            ,99.89305069877548  ,0.0         ,62.5                         ,C
META      ,Communication Services,United States and Canada   ,96.47054083455325 ,100.0               ,50.0            ,90.91659046815998  ,4.0         ,73.4                         ,B
TSLA      ,Consumer Discretionary,United States and Canada   ,100.0             ,50.0                ,50.0            ,93.83686210640609  ,0.0         ,61.6                         ,C
CWR       ,Industrials           ,Europe                     ,50.0              ,50.0                ,50.0            ,99.51883967668795  ,0.0         ,49.9                         ,D
LLY       ,Health Care           ,United States and Canada   ,86.85224558231613 ,35.61458093262656   ,50.0            ,18.46137317002533  ,48.0        ,50.6                         ,C
WMT       ,Consumer Staples      ,United States and Canada   ,82.29937721106528 ,41.736395952966916  ,50.0            ,78.80652117539478  ,100.0       ,67.8                         ,B
TOTAL     ,Energy                ,Africa / Middle East       ,50.0              ,13.28049620951068   ,50.0            ,87.68220406855679  ,4.0         ,39.6                         ,D
ORCL      ,Information Technology,United States and Canada   ,86.5702996048617  ,0.0                 ,50.0            ,0.0                ,48.0        ,38.8                         ,D
XOM       ,Energy                ,United States and Canada   ,71.50791814064205 ,27.58760733348805   ,50.0            ,94.04928198192206  ,100.0       ,63.9                         ,C
JNJ       ,Health Care           ,United States and Canada   ,75.67986641221374 ,32.0369462154651    ,50.0            ,82.35930433160816  ,100.0       ,64.3                         ,C
PLTR      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,98.43475495690375  ,0.0         ,62.3                         ,C
TOI       ,Information Technology,Europe                     ,50.0              ,50.0                ,50.0            ,77.93036633363609  ,0.0         ,46.7                         ,D
