ticker     ,sector                ,region                     ,payout_score,fcf_coverage_score,div_growth_score,balance_sheet_score,dividend_sustainability_score,sustainability_grade
NVDA       ,Information Technology,United States and Canada   ,0           ,5                 ,0               ,25                 ,30                           ,F
AAPL       ,Information Technology,United States and Canada   ,0           ,25                ,0               ,0                  ,25                           ,F
GOOGL      ,Communication Services,United States and Canada   ,0           ,25                ,0               ,25                 ,50                           ,D
MSFT       ,Information Technology,United States and Canada   ,0           ,0                 ,0               ,20                 ,20                           ,F
AMZN       ,Consumer Discretionary,United States and Canada   ,0           ,5                 ,0               ,20                 ,25                           ,F
META       ,Communication Services,United States and Canada   ,0           ,15                ,0               ,20                 ,35                           ,F
AVGO       ,Information Technology,United States and Canada   ,0           ,5                 ,0               ,0                  ,5                            ,F
TSLA       ,Consumer Discretionary,United States and Canada   ,0           ,5                 ,0               ,25                 ,30                           ,F
BRKA       ,Financials            ,United States and Canada   ,0           ,15                ,0               ,25                 ,40                           ,F
LLY        ,Health Care           ,United States and Canada   ,0           ,5                 ,0               ,0                  ,5                            ,F
JPM        ,Financials            ,United States and Canada   ,0           ,0                 ,0               ,25                 ,25                           ,F
WMT        ,Consumer Staples      ,United States and Canada   ,0           ,25                ,0               ,20                 ,45                           ,D
V          ,Financials            ,United States and Canada   ,0           ,15                ,0               ,25                 ,40                           ,F
ORCL       ,Information Technology,United States and Canada   ,0           ,0                 ,0               ,0                  ,0                            ,
MA         ,Financials            ,United States and Canada   ,0           ,15                ,0               ,25                 ,40                           ,F
XOM        ,Energy                ,United States and Canada   ,0           ,0                 ,0               ,20                 ,20                           ,F
JNJ        ,Health Care           ,United States and Canada   ,0           ,0                 ,0               ,20                 ,20                           ,F
PLTR       ,Information Technology,United States and Canada   ,0           ,0                 ,0               ,25                 ,25                           ,F
NFLX       ,Communication Services,United States and Canada   ,0           ,0                 ,0               ,10                 ,10                           ,F
BAC        ,Financials            ,United States and Canada   ,0           ,15                ,0               ,25                 ,40                           ,F
ABBV       ,Health Care           ,United States and Canada   ,0           ,25                ,0               ,0                  ,25                           ,F
