ticker    ,sector                ,region                     ,payout_score      ,fcf_coverage_score  ,div_growth_score,balance_sheet_score,streak_score,dividend_sustainability_score,sustainability_grade
NVDA      ,Information Technology,United States and Canada   ,99.50909456336046 ,100.0               ,50.0            ,96.96600138495224  ,12.0        ,76.2                         ,B
GOOGL     ,Communication Services,United States and Canada   ,95.99399602417687 ,100.0               ,50.0            ,96.19205911420032  ,4.0         ,74.0                         ,B
VSNT      ,Communication Services,United States and Canada   ,50.0              ,50.0                ,50.0            ,100.0              ,0.0         ,50.0                         ,C
AAPL      ,Information Technology,United States and Canada   ,93.11623962146237 ,100.0               ,50.0            ,49.196424938629924 ,60.000004   ,74.7                         ,B
MSFT      ,Information Technology,United States and Canada   ,88.57525139354433 ,63.23053855817158   ,50.0            ,88.948594784563    ,84.0        ,73.9                         ,B
OBCK      ,Health Care           ,Europe                     ,50.0              ,100.0               ,50.0            ,0.0                ,0.0         ,47.5                         ,D
AMZN      ,Consumer Discretionary,United States and Canada   ,100.0             ,50.0                ,50.0            ,85.53169692657451  ,0.0         ,60.3                         ,C
AVGO      ,Information Technology,United States and Canada   ,83.48256641366224 ,48.310895709926406  ,50.0            ,72.74803588709015  ,56.0        ,62.3                         ,C
PHVS      ,Health Care           ,Europe                     ,100.0             ,50.0                ,50.0            ,99.93816551636341  ,0.0         ,62.5                         ,C
META      ,Communication Services,United States and Canada   ,96.47054083455325 ,100.0               ,50.0            ,91.2297878041491   ,4.0         ,73.4                         ,B
TSLA      ,Consumer Discretionary,United States and Canada   ,100.0             ,50.0                ,50.0            ,94.30596164329253  ,0.0         ,61.6                         ,C
CWR       ,Industrials           ,Europe                     ,50.0              ,50.0                ,50.0            ,99.30514194957316  ,0.0         ,49.9                         ,D
LLY       ,Health Care           ,United States and Canada   ,86.85224558231613 ,35.61458093262656   ,50.0            ,40.494518702377555 ,48.0        ,53.9                         ,C
WMT       ,Consumer Staples      ,United States and Canada   ,82.29937721106528 ,41.736395952966916  ,50.0            ,77.75089745590759  ,100.0       ,67.7                         ,B
TOTAL     ,Energy                ,Africa / Middle East       ,50.0              ,13.28049620951068   ,50.0            ,82.74403771491959  ,4.0         ,38.8                         ,D
ORCL      ,Information Technology,United States and Canada   ,86.5702996048617  ,0.0                 ,50.0            ,0.0                ,48.0        ,38.8                         ,D
XOM       ,Energy                ,United States and Canada   ,71.50791814064205 ,27.58760733348805   ,50.0            ,94.77598863632127  ,100.0       ,64.0                         ,C
JNJ       ,Health Care           ,United States and Canada   ,75.67986641221374 ,32.0369462154651    ,50.0            ,80.74473050191102  ,100.0       ,64.0                         ,C
PLTR      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,98.8266023949392   ,0.0         ,62.3                         ,C
TOI       ,Information Technology,Europe                     ,50.0              ,50.0                ,50.0            ,59.94561041938513  ,0.0         ,44.0                         ,D
COST      ,Consumer Staples      ,United States and Canada   ,86.4791616477957  ,80.20489977728286   ,50.0            ,91.01079101079101  ,84.0        ,77.9                         ,B
NFLX      ,Communication Services,United States and Canada   ,100.0             ,50.0                ,50.0            ,78.05923267664662  ,0.0         ,59.2                         ,C
LIVN      ,Health Care           ,Europe                     ,100.0             ,50.0                ,50.0            ,85.98521181326674  ,0.0         ,60.4                         ,C
ABBV      ,Health Care           ,United States and Canada   ,65.77568758185498 ,34.23899808662376   ,50.0            ,100.0              ,48.0        ,57.2                         ,C
MU        ,Information Technology,United States and Canada   ,97.96747967479675 ,100.0               ,50.0            ,92.91852305320319  ,4.0         ,74.0                         ,B
HD        ,Consumer Discretionary,United States and Canada   ,69.48650940156263 ,30.615519894482308  ,50.0            ,0.0                ,68.0        ,45.2                         ,D
PRTC      ,Health Care           ,United States and Canada   ,50.0              ,50.0                ,50.0            ,85.22482972919263  ,0.0         ,47.8                         ,D
BABA      ,Consumer Discretionary,Asia / Pacific             ,86.73703253215615 ,1.5690535786767692  ,50.0            ,90.91706868287692  ,4.0         ,46.3                         ,D
AMD       ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,97.87794045073203  ,0.0         ,62.2                         ,C
GE        ,Industrials           ,United States and Canada   ,89.52851711026616 ,93.59477124183006   ,50.0            ,61.584564428789236 ,12.0        ,66.8                         ,B
PG        ,Consumer Staples      ,United States and Canada   ,100.0             ,50.0                ,50.0            ,77.62506769248006  ,100.0       ,74.1                         ,B
CVX       ,Energy                ,United States and Canada   ,56.693805309734515,25.21497466078143   ,50.0            ,92.920245398773    ,100.0       ,59.4                         ,C
KO        ,Consumer Staples      ,United States and Canada   ,66.95001169773064 ,13.142991977347807  ,50.0            ,51.74296850732958  ,100.0       ,52.8                         ,C
UNH       ,Health Care           ,United States and Canada   ,79.65671022609418 ,44.28243691052766   ,50.0            ,74.75546482946329  ,68.0        ,62.4                         ,C
CSCO      ,Information Technology,United States and Canada   ,79.2258728219636  ,39.40885174868461   ,50.0            ,78.92390075309879  ,56.0        ,59.9                         ,C
CAT       ,Industrials           ,United States and Canada   ,84.98069498069498 ,55.52699228791773   ,50.0            ,32.984816948222715 ,100.0       ,65.1                         ,B
IBM       ,Information Technology,United States and Canada   ,69.9932536622976  ,40.05460093142766   ,50.0            ,20.72287721805407  ,100.0       ,55.6                         ,C
LRCX      ,Information Technology,United States and Canada   ,89.84624964736157 ,94.02544598234707   ,50.0            ,85.33617849288302  ,44.0        ,75.4                         ,B
SIVI      ,Utilities             ,Europe                     ,50.0              ,0.0                 ,50.0            ,98.36667415898704  ,8.0         ,38.5                         ,D
MRK       ,Health Care           ,United States and Canada   ,81.39881635087397 ,32.18399309409298   ,50.0            ,73.43068693368268  ,64.0        ,59.0                         ,C
RTX       ,Industrials           ,United States and Canada   ,79.61370863266988 ,30.25418833044483   ,50.0            ,79.56160036951687  ,24.0        ,53.0                         ,C
PM        ,Consumer Staples      ,United States and Canada   ,63.359159297955415,24.002371072910492  ,50.0            ,100.0              ,68.0        ,57.0                         ,C
AMAT      ,Information Technology,United States and Canada   ,90.90311555146575 ,82.34104046242776   ,50.0            ,88.4888562331619   ,36.0        ,72.0                         ,B
INTC      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,86.70635940489449  ,4.0         ,61.1                         ,C
TMO       ,Health Care           ,United States and Canada   ,96.33701787394168 ,100.0               ,50.0            ,76.74994461169541  ,36.0        ,76.0                         ,B
APP       ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,20.57529128672746  ,0.0         ,50.6                         ,C
CRM       ,Information Technology,United States and Canada   ,92.88225748287053 ,100.0               ,50.0            ,93.53837268067288  ,4.0         ,72.9                         ,B
PODD      ,Health Care           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,74.09628398718782  ,0.0         ,58.6                         ,C
MCD       ,Consumer Discretionary,United States and Canada   ,70.40243331773515 ,29.13833992094862   ,50.0            ,100.0              ,72.0        ,60.7                         ,C
SHOP      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,97.02928089947513  ,0.0         ,62.1                         ,C
ENVX      ,Industrials           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,39.102434646022665 ,0.0         ,53.4                         ,C
ABT       ,Health Care           ,United States and Canada   ,76.91517296495034 ,34.20870425321464   ,50.0            ,91.56328027465668  ,52.0        ,59.3                         ,C
TMUS      ,Communication Services,United States and Canada   ,83.83884092167091 ,85.735              ,50.0            ,33.12609201294157  ,4.0         ,58.0                         ,C
LIN       ,Materials             ,Europe                     ,82.00701025574452 ,36.62337662337662   ,50.0            ,78.44218264065591  ,100.0       ,66.4                         ,B
DIS       ,Communication Services,United States and Canada   ,91.63263411917579 ,100.0               ,50.0            ,86.78934143021672  ,12.0        ,72.7                         ,B
ISRG      ,Health Care           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,100.0              ,0.0         ,62.5                         ,C
PEP       ,Consumer Staples      ,United States and Canada   ,64.93313521545319 ,17.97669491525424   ,50.0            ,13.269883504750213 ,100.0       ,47.7                         ,D
4017      ,Health Care           ,Africa / Middle East       ,53.22826639552619 ,0.0                 ,50.0            ,90.00930820827648  ,0.0         ,36.8                         ,D
KLAC      ,Information Technology,United States and Canada   ,89.62795308325757 ,80.63444800732937   ,50.0            ,59.29097618823138  ,68.0        ,71.7                         ,B
BA        ,Industrials           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,100.0              ,4.0         ,63.1                         ,C
LOCAL     ,Communication Services,Europe                     ,50.0              ,50.0                ,50.0            ,100.0              ,4.0         ,50.6                         ,C
APH       ,Information Technology,United States and Canada   ,89.23984166733985 ,89.01151151151151   ,50.0            ,78.67014624266605  ,60.000004   ,75.4                         ,B
UBER      ,Industrials           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,84.74818498828103  ,0.0         ,60.2                         ,C
