ticker    ,sector                ,region                     ,rating_score,upside_score,consensus_strength_score,conviction_score  ,pt_momentum_score ,analyst_consensus_score,consensus_grade
NVDA      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,15.200000000000003      ,92.06349206349206 ,50.01871443470331 ,49.4                   ,D
GOOGL     ,Communication Services,United States and Canada   ,50.0        ,50.0        ,27.352941176470594      ,88.05970149253731 ,50.082170858984924,51.2                   ,C
VSNT      ,Communication Services,United States and Canada   ,50.0        ,50.0        ,55.29411764705882       ,0.0               ,50.0              ,43.6                   ,D
AAPL      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,55.0                    ,51.02040816326531 ,50.010929914204226,51.2                   ,C
MSFT      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,60.91772151898734       ,96.49122807017544 ,49.98654042086977 ,59.2                   ,C
OBCK      ,Health Care           ,Europe                     ,50.0        ,50.0        ,69.76744186046511       ,85.71428571428571 ,49.993877142857144,59.3                   ,C
AMZN      ,Consumer Discretionary,United States and Canada   ,50.0        ,50.0        ,61.666666666666664      ,94.02985074626866 ,49.99717965480464 ,58.9                   ,C
AVGO      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,48.21052631578947       ,95.83333333333334 ,50.02855514038929 ,56.5                   ,C
PHVS      ,Health Care           ,Europe                     ,50.0        ,50.0        ,0.0                     ,90.9090909090909  ,50.000626144755955,46.1                   ,D
META      ,Communication Services,United States and Canada   ,50.0        ,50.0        ,48.57142857142858       ,89.55223880597015 ,49.99307179377199 ,55.6                   ,C
TSLA      ,Consumer Discretionary,United States and Canada   ,50.0        ,50.0        ,0.0                     ,23.91304347826087 ,50.1169027292635  ,36.1                   ,D
CWR       ,Industrials           ,Europe                     ,50.0        ,50.0        ,14.432989690721627      ,88.88888888888889 ,50.0              ,48.7                   ,D
LLY       ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,37.33905579399141       ,70.0              ,50.09433632522311 ,50.5                   ,C
WMT       ,Consumer Staples      ,United States and Canada   ,50.0        ,50.0        ,40.800000000000004      ,90.69767441860465 ,50.063622146652   ,54.3                   ,C
TOTAL     ,Energy                ,Africa / Middle East       ,50.0        ,50.0        ,100.0                   ,50.0              ,50.0              ,60.0                   ,C
ORCL      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,22.46313793103448       ,67.44186046511628 ,49.988078677316786,47.1                   ,D
XOM       ,Energy                ,United States and Canada   ,50.0        ,50.0        ,62.30769230769231       ,44.44444444444444 ,49.99806172088781 ,51.6                   ,C
JNJ       ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,60.00376435159044       ,48.0              ,50.06865897690649 ,51.7                   ,C
PLTR      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,0.0                     ,8.0               ,50.035767720592375,33.7                   ,F
TOI       ,Information Technology,Europe                     ,50.0        ,50.0        ,94.21089172648408       ,100.0             ,50.0              ,66.3                   ,B
COST      ,Consumer Staples      ,United States and Canada   ,50.0        ,50.0        ,46.83908045977011       ,58.33333333333333 ,49.97523666506488 ,50.6                   ,C
NFLX      ,Communication Services,United States and Canada   ,50.0        ,50.0        ,39.06376109765941       ,61.36363636363636 ,49.94268761523675 ,49.5                   ,D
