ticker    ,sector                ,region                     ,current_ratio_score,quick_ratio_score,cash_ratio_score,debt_equity_score  ,debt_assets_score   ,interest_coverage_score,leverage_liquidity_score,leverage_grade
NVDA      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,95.68452943722397  ,88.49696687305669   ,0.0                    ,56.8                    ,C
GOOGL     ,Communication Services,United States and Canada   ,50.0               ,50.0             ,50.0            ,96.87906305242132  ,91.550084840624     ,0.0                    ,57.7                    ,C
AAPL      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,49.196424938629924 ,60.89776779376519   ,50.0                   ,52.0                    ,C
MSFT      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,89.11296857546847  ,77.34582869549905   ,0.0                    ,53.3                    ,C
AMZN      ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,81.88609527805947  ,68.91452790393251   ,0.0                    ,50.2                    ,C
AVGO      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,72.74803588709015  ,51.44352161410235   ,0.0                    ,44.8                    ,D
META      ,Communication Services,United States and Canada   ,50.0               ,50.0             ,50.0            ,90.91659046815998  ,77.46410122657161   ,0.0                    ,53.7                    ,C
TSLA      ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,93.83686210640609  ,86.05001228803147   ,0.0                    ,56.0                    ,C
WMT       ,Consumer Staples      ,United States and Canada   ,50.0               ,50.0             ,50.0            ,78.80652117539478  ,70.23220728233323   ,0.0                    ,49.8                    ,D
LLY       ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,18.46137317002533  ,44.56163953711433   ,0.0                    ,32.6                    ,F
ORCL      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,0.0                ,19.108344569110425  ,0.0                    ,23.8                    ,F
XOM       ,Energy                ,United States and Canada   ,50.0               ,50.0             ,50.0            ,94.04928198192206  ,86.68366503114835   ,0.0                    ,56.1                    ,C
JNJ       ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,82.35930433160816  ,73.74156043175056   ,0.0                    ,51.2                    ,C
COST      ,Consumer Staples      ,United States and Canada   ,50.0               ,50.0             ,50.0            ,88.64467608467059  ,83.89246293726248   ,0.0                    ,54.5                    ,C
MU        ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,90.55232468691344  ,76.823111669364     ,0.0                    ,53.5                    ,C
PLTR      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,98.43475495690375  ,95.28417191304676   ,50.0                   ,68.7                    ,B
