ticker    ,sector                ,region                     ,upside_score       ,spread_score        ,coverage_score,rating_score,price_target_score,price_target_grade
NVDA      ,Information Technology,United States and Canada   ,73.18125137971565  ,0.0                 ,100.0         ,91.5        ,63.9              ,C
GOOGL     ,Communication Services,United States and Canada   ,36.41451178451178  ,25.15151515151515   ,100.0         ,89.25001    ,56.9              ,C
AAPL      ,Information Technology,United States and Canada   ,47.37769429116825  ,47.16862990646891   ,100.0         ,74.5        ,63.3              ,C
MSFT      ,Information Technology,United States and Canada   ,72.51977655035107  ,46.288000695863964  ,100.0         ,92.99999    ,75.6              ,B
AMZN      ,Consumer Discretionary,United States and Canada   ,59.39858183710642  ,51.90699230511877   ,100.0         ,91.5        ,72.1              ,B
AVGO      ,Information Technology,United States and Canada   ,66.45610809410533  ,30.056012055386528  ,100.0         ,93.25       ,69.4              ,B
META      ,Communication Services,United States and Canada   ,71.90974965291774  ,30.35066505441354   ,100.0         ,91.0        ,71.0              ,B
TSLA      ,Consumer Discretionary,United States and Canada   ,26.64152380952381  ,0.0                 ,100.0         ,61.5        ,41.6              ,D
WMT       ,Consumer Staples      ,United States and Canada   ,36.34892787524366  ,38.17878028404345   ,100.0         ,90.0        ,60.3              ,C
LLY       ,Health Care           ,United States and Canada   ,41.07883923985617  ,29.69953775038522   ,93.333336     ,82.50001    ,57.0              ,C
ORCL      ,Information Technology,United States and Canada   ,91.78002221175593  ,0.0                 ,100.0         ,80.75       ,68.3              ,B
XOM       ,Energy                ,United States and Canada   ,33.85856408413957  ,62.27577180691354   ,83.33333      ,67.5        ,57.6              ,C
JNJ       ,Health Care           ,United States and Canada   ,29.949947661005925 ,61.12686362389097   ,80.0          ,71.0        ,56.0              ,C
COST      ,Consumer Staples      ,United States and Canada   ,41.010886146885156 ,42.40408464005148   ,100.0         ,77.75       ,60.5              ,C
MU        ,Information Technology,United States and Canada   ,26.082211501646384 ,0.0                 ,100.0         ,85.0        ,46.1              ,D
PLTR      ,Information Technology,United States and Canada   ,45.37136692143711  ,0.0                 ,76.666664     ,54.000004   ,42.0              ,D
NFLX      ,Communication Services,United States and Canada   ,77.47133838383837  ,14.204545454545459  ,100.0         ,77.25       ,66.1              ,B
ABBV      ,Health Care           ,United States and Canada   ,49.240339009408295 ,51.0146955913226    ,90.0          ,76.75001    ,63.3              ,C
HD        ,Consumer Discretionary,United States and Canada   ,37.05655072438354  ,68.1721335192151    ,100.0         ,76.25001    ,65.3              ,B
