ticker    ,name                                                                                   ,industry                                             ,region                     ,market_cap   ,piotroski_f_score,long_term_trend_score,dilution_score    ,distress_risk_score,cash_runway_months ,net_income_growth_yoy,cash_flow_quality_score,fcf_yield          ,eps_cont_vs_total_eps,discontinued_ops_impact,rnd_intensity_ltm  ,high_rnd_intensity_flag,inventory_days     ,inventory_turnover_mv,goodwill_concentration,recent_acquisition_flag,tangible_book_value_ltm,tbv_yoy_growth     ,marketing_to_revenue,sga_vs_5y_avg      ,capex_yoy_growth   ,capex_vs_5y_avg   ,underinvestment_flag,acquisitions_ltm_total,serial_acquirer_flag,ma_intensity_score,total_investment_to_cfo,organic_vs_inorganic,investment_efficiency
LUV       ,Southwest Airlines Co.                                                                 ,Passenger Airlines                                   ,United States and Canada   ,25082.02     ,4                ,0.3884383750277047   ,63.76972053488647 ,25.0               ,1.4061581982374063 ,-5.161290322580645   ,50                     ,-3.313130282170256 ,1.0                  ,0.0                    ,0.0                ,0                      ,13.123405242403154 ,27.812903225806448   ,12.153865430397191    ,0                      ,7011.0                 ,0.0                ,0.0                 ,0.0                ,28.509615384615383 ,1.4034801078343273,0                   ,0.0                   ,0                   ,0.0               ,1.4511400651465798     ,                    ,0.2788461538461538
PHM       ,PulteGroup Inc.                                                                        ,Household Durables                                   ,United States and Canada   ,24805.12     ,3                ,0.8737922485985513   ,54.95669782251828 ,100.0              ,1.66072626260368   ,-28.039477695685733  ,75                     ,7.049068901904123  ,1.0                  ,0.0                    ,0.0                ,0                      ,370.3308763790931  ,0.9856050987937712   ,0.3109636639189738    ,0                      ,12918.85               ,0.0                ,0.0                 ,1.1555990742389175 ,3.5175031632222686 ,1.2403960396039604,0                   ,0.0                   ,0                   ,0.0               ,0.0655818303273213     ,                    ,-5.356389708983551
KEX       ,Kirby Corporation                                                                      ,Marine Transportation                                ,United States and Canada   ,6621.61      ,1                ,0.6080816692070403   ,55.57491289198607 ,100.0              ,0.0                ,23.668515224442817   ,0                      ,0.0                ,1.0                  ,0.0                    ,0.0                ,0                      ,0.0                ,                     ,                      ,0                      ,0.0                    ,                   ,0.0                 ,1.1422594142259415 ,-100.0             ,0.0               ,1                   ,0.0                   ,1                   ,                  ,                       ,                    ,0.2334490630647769
LHX       ,L3Harris Technologies Inc.                                                             ,Aerospace and Defense                                ,United States and Canada   ,66594.55     ,4                ,0.7585917157270761   ,51.37899486495281 ,100.0              ,0.6521606507371631 ,6.92410119840213     ,100                    ,4.027356592994472  ,1.0                  ,0.0                    ,0.0                ,0                      ,27.397475369458128 ,13.322395406070548   ,101.90985485103133    ,0                      ,-6884.0                ,0.0                ,0.0                 ,1.423529411764706  ,3.92156862745098   ,1.6193502101055652,0                   ,0.0                   ,0                   ,0.0               ,0.1365099806825499     ,                    ,1.323529411764706
SNDK      ,Sandisk Corporation                                                                    ,Technology Hardware Storage and Peripherals          ,United States and Canada   ,79036.13     ,4                ,0.0                  ,100.0             ,29.166666666666664 ,2.340275899377874  ,144.19642857142856   ,50                     ,0.6528659740804617 ,1.0                  ,0.0                    ,14.974293059125964 ,1                      ,124.14036026395576 ,2.9402202412165703   ,53.27790214262872     ,0                      ,4383.0                 ,3.936447711643348  ,0.0                 ,                   ,22.89156626506024  ,                  ,0                   ,0.0                   ,0                   ,0.0               ,0.2660028449502133     ,                    ,4.168674698795181
NSC       ,Norfolk Southern Corporation                                                           ,Ground Transportation                                ,United States and Canada   ,65108.02     ,4                ,0.1748466429875415   ,50.81906283965364 ,31.666666666666664 ,2.370867768595041  ,9.572845156369183    ,100                    ,3.3129559154156434 ,1.0                  ,0.0                    ,0.0                ,0                      ,15.025824092359105 ,24.29151291512915    ,0.0                   ,0                      ,15547.0                ,0.0                ,0.0                 ,                   ,-45.2286282306163  ,1.2310238268123406,0                   ,0.0                   ,0                   ,0.0               ,0.5053886723228617     ,                    ,0.0141650099403578
HSLV      ,Highlander Silver Corp.                                                                ,Metals and Mining                                    ,United States and Canada   ,909.11       ,1                ,13.403484320557492   ,0.0               ,100.0              ,93.47301587301587  ,499.3630573248408    ,0                      ,-0.8502821440749744,1.0                  ,0.0                    ,                   ,0                      ,                   ,                     ,0.0                   ,0                      ,79.96                  ,0.0                ,                    ,3.724137931034482  ,650.0              ,1.6666666666666667,0                   ,1.22                  ,0                   ,1.470233791275006 ,0.1807387862796833     ,0.1229508196721311  ,0.0
MO        ,Altria Group Inc.                                                                      ,Tobacco                                              ,United States and Canada   ,100317.41    ,2                ,0.2645203063435925   ,50.95240183851743 ,100.0              ,4.8                ,-38.32563920454545   ,0                      ,0.0                ,1.0                  ,0.0                    ,0.0                ,0                      ,44.70069818015337  ,8.165420560747663    ,0.0                   ,0                      ,-21165.0               ,0.0                ,0.0                 ,1.3608411029557628 ,-100.0             ,0.0               ,1                   ,0.0                   ,0                   ,0.0               ,                       ,                    ,19.964788732394368
CMCSA     ,Comcast Corporation                                                                    ,Diversified Telecommunication Services               ,United States and Canada   ,106547.48    ,4                ,-0.2691826439584698  ,54.7731239672604  ,100.0              ,1.10418587497695   ,23.505434782608692   ,100                    ,20.53732289116552  ,1.0                  ,0.0                    ,0.0                ,0                      ,0.0                ,                     ,63.15930003286231     ,0                      ,-46438.0               ,0.0                ,7.163701326521538   ,1.2095062294213024 ,-4.3587866959421   ,1.2985441926698096,0                   ,1306.0                ,0                   ,0.4790357662921678,0.3884017477632791     ,9.005359877488514   ,-0.0019516955354964
VLO       ,Valero Energy Corporation                                                              ,Oil Gas and Consumable Fuels                         ,United States and Canada   ,55661.19     ,1                ,0.683248193107618    ,53.656421075970094,100.0              ,0.0                ,-15.234657039711191  ,0                      ,0.0                ,1.0                  ,0.0                    ,0.0                ,0                      ,0.0                ,                     ,                      ,0                      ,0.0                    ,                   ,0.0                 ,1.4210312626877792 ,-100.0             ,0.0               ,1                   ,0.0                   ,0                   ,                  ,                       ,                    ,-1.4189636163175303
