"Date"   ;"D0";"D1"    ;"Value"
"2019-01";"M0";"EUR1"  ;"1.12959"
"2019-01";"M0";"GBP1"  ;"1.27585"
"2019-01";"M0";"DKK100";"15.13067"
"2019-01";"M0";"NOK100";"11.57456"
"2019-01";"M0";"CZK100";"4.40536"
"2019-01";"M0";"HUF100";"0.35315"
"2019-01";"M0";"PLN100";"26.30421"
"2019-01";"M0";"RUB1"  ;"0.01482"
"2019-01";"M0";"SEK100";"10.9987"
"2019-01";"M0";"TRY100";"18.40345"
"2019-01";"M0";"USD1"  ;"0.9892"
"2019-01";"M0";"CAD1"  ;"0.74409"
"2019-01";"M0";"ARS1"  ;"0.02643"
"2019-01";"M0";"BRL100";"26.46126"
"2019-01";"M0";"MXN100";"5.15858"
"2019-01";"M0";"ZAR1"  ;"0.07148"
"2019-01";"M0";"JPY100";"0.90838"
"2019-01";"M0";"AUD1"  ;"0.70746"
"2019-01";"M0";"CNY100";"14.58121"
"2019-01";"M0";"HKD100";"12.61306"
"2019-01";"M0";"KRW100";"0.08818"
"2019-01";"M0";"MYR100";"24.03215"
"2019-01";"M0";"NZD1"  ;"0.6705"
"2019-01";"M0";"SGD1"  ;"0.7294"
"2019-01";"M0";"THB100";"3.1117"
"2019-01";"M0";"XDR1"  ;"1.37927"
"2019-01";"M0";"USD3M" ;"0.98"
"2019-01";"M0";"USD6M" ;"0.9714"
"2019-01";"M1";"EUR1"  ;"1.14065"
"2019-01";"M1";"GBP1"  ;"1.30245"
"2019-01";"M1";"DKK100";"15.27956"
"2019-01";"M1";"NOK100";"11.81268"
"2019-01";"M1";"CZK100";"4.42665"
"2019-01";"M1";"HUF100";"0.36115"
"2019-01";"M1";"PLN100";"26.64922"
"2019-01";"M1";"RUB1"  ;"0.01522"
"2019-01";"M1";"SEK100";"11.00648"
"2019-01";"M1";"TRY100";"19.08785"
"2019-01";"M1";"USD1"  ;"0.99295"
"2019-01";"M1";"CAD1"  ;"0.75587"
"2019-01";"M1";"ARS1"  ;"0.0265"
"2019-01";"M1";"BRL100";"26.97867"
"2019-01";"M1";"MXN100";"5.19954"
"2019-01";"M1";"ZAR1"  ;"0.07446"
"2019-01";"M1";"JPY100";"0.9147"
"2019-01";"M1";"AUD1"  ;"0.72212"
"2019-01";"M1";"CNY100";"14.79762"
"2019-01";"M1";"HKD100";"12.65614"
"2019-01";"M1";"KRW100";"0.08925"
"2019-01";"M1";"MYR100";"24.25497"
"2019-01";"M1";"NZD1"  ;"0.68608"
"2019-01";"M1";"SGD1"  ;"0.73776"
"2019-01";"M1";"THB100";"3.17805"
"2019-01";"M1";"XDR1"  ;"1.3934"
"2019-02";"M0";"EUR1"  ;"1.1366"
"2019-02";"M0";"GBP1"  ;"1.30204"
"2019-02";"M0";"DKK100";"15.23041"
"2019-02";"M0";"NOK100";"11.66234"
"2019-02";"M0";"CZK100";"4.4181"
"2019-02";"M0";"HUF100";"0.35734"
"2019-02";"M0";"PLN100";"26.32435"
"2019-02";"M0";"RUB1"  ;"0.01521"
"2019-02";"M0";"SEK100";"10.82993"
"2019-02";"M0";"TRY100";"18.97608"
"2019-02";"M0";"USD1"  ;"1.00153"
"2019-02";"M0";"CAD1"  ;"0.75827"
"2019-02";"M0";"ARS1"  ;"0.02616"
"2019-02";"M0";"BRL100";"26.9361"
"2019-02";"M0";"MXN100";"5.21992"
"2019-02";"M0";"ZAR1"  ;"0.07256"
"2019-02";"M0";"JPY100";"0.90737"
"2019-02";"M0";"AUD1"  ;"0.71491"
"2019-02";"M0";"CNY100";"14.86124"
"2019-02";"M0";"HKD100";"12.76182"
"2019-02";"M0";"KRW100";"0.08917"
"2019-02";"M0";"MYR100";"24.55299"
"2019-02";"M0";"NZD1"  ;"0.68435"
"2019-02";"M0";"SGD1"  ;"0.73977"
"2019-02";"M0";"THB100";"3.19915"
"2019-02";"M0";"XDR1"  ;"1.3939"
"2019-02";"M0";"USD3M" ;"0.9929"
"2019-02";"M0";"USD6M" ;"0.9842"
"2019-02";"M1";"EUR1"  ;"1.13444"
"2019-02";"M1";"GBP1"  ;"1.32471"
"2019-02";"M1";"DKK100";"15.20407"
"2019-02";"M1";"NOK100";"11.66013"
"2019-02";"M1";"CZK100";"4.42731"
"2019-02";"M1";"HUF100";"0.35858"
"2019-02";"M1";"PLN100";"26.3103"
"2019-02";"M1";"RUB1"  ;"0.01513"
"2019-02";"M1";"SEK100";"10.83603"
"2019-02";"M1";"TRY100";"18.69276"
"2019-02";"M1";"USD1"  ;"0.99595"
"2019-02";"M1";"CAD1"  ;"0.75631"
"2019-02";"M1";"ARS1"  ;"0.0257"
"2019-02";"M1";"BRL100";"26.70322"
"2019-02";"M1";"MXN100";"5.18856"
"2019-02";"M1";"ZAR1"  ;"0.07124"
"2019-02";"M1";"JPY100";"0.89891"
"2019-02";"M1";"AUD1"  ;"0.71096"
"2019-02";"M1";"CNY100";"14.89605"
"2019-02";"M1";"HKD100";"12.68758"
"2019-02";"M1";"KRW100";"0.08859"
